Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;00:00;10010;618;9762;34;0;2365;-7;131;-2893
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;00:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;00:30;9856;254;9688;42;0;2964;-4;124;-3212
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;00:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;01:00;9623;251;9648;44;0;2171;-3;122;-2609
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;01:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;01:30;9583;251;9657;44;0;2308;-3;122;-2796
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;01:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;02:00;9581;251;9649;39;0;2008;-4;123;-2486
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;02:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;02:30;9631;242;9675;34;0;1673;-27;122;-2086
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;02:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;03:00;9450;242;9622;30;0;1687;-735;121;-1518
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;03:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;03:30;9332;243;9668;28;0;2006;-734;124;-2002
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;03:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;04:00;9140;242;9588;27;0;1668;-897;124;-1613
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;04:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;04:30;9032;243;9659;29;0;1542;-924;125;-1642
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;04:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;05:00;8936;243;9647;32;0;1254;-1057;124;-1307
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;05:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;05:30;8944;242;9670;27;0;1312;-1057;124;-1375
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;05:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;06:00;8868;242;9692;28;0;1377;-1058;123;-1536
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;06:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;06:30;8732;240;9647;23;0;1278;-1058;123;-1521
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;06:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;07:00;8652;239;9650;28;0;1276;-1057;123;-1606
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;07:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;07:30;8569;236;9647;26;0;1360;-1058;123;-1766
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;07:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;08:00;8594;236;9630;22;0;1383;-1027;124;-1774
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;08:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;08:30;8532;236;9650;18;0;1439;-896;124;-2039
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;08:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;09:00;8599;241;9659;17;8;1506;-895;124;-2060
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;09:15;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;09:30;8790;242;9672;20;34;1806;-896;124;-2211
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;09:45;;;;;;;;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;10:00;8871;241;9716;18;69;1919;-896;124;-2320
Auvergne-Rhône-Alpes;Données définitives;01/01/2017;10:15;;;;;;;;;
