Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;;
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;00:00;8984;246;11598;157;0;2153;-1595;148;-3723;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;00:15;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;00:30;8815;242;11721;154;0;2233;-1458;143;-4220;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;00:45;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;01:00;8576;242;11568;149;0;1771;-1461;143;-3835;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;01:15;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;01:30;8526;244;11334;138;0;1623;-1457;144;-3500;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;01:45;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;02:00;8474;233;11187;122;0;1656;-1486;145;-3383;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;02:15;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;02:30;8529;230;11107;119;0;1580;-1676;143;-2975;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;02:45;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;03:00;8344;230;10883;114;0;1315;-1786;143;-2556;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;03:15;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;03:30;8250;230;11015;124;0;1262;-1784;140;-2737;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;03:45;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;04:00;8022;233;10967;127;0;1225;-1783;141;-2889;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;04:15;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;04:30;7929;233;10714;122;0;1191;-1783;142;-2690;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;04:45;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;05:00;7820;233;10679;123;0;1185;-1785;141;-2757;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;05:15;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;05:30;7859;233;10620;116;0;1178;-1783;139;-2645;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;05:45;;;;;;;;;;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;06:00;7780;233;10549;112;0;1173;-1783;139;-2642;ND;ND
Auvergne-Rhône-Alpes;Données définitives;01/01/2019;06:15;;;;;;;;;;ND;ND
