Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;00:00;8911;220;11556;41;0;3663;-8;144;-6706
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;00:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;00:30;8814;221;11555;38;0;3962;-4;144;-7103
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;00:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;01:00;8589;221;11439;34;0;3840;-4;146;-7087
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;01:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;01:30;8575;221;11618;38;0;3786;-4;147;-7231
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;01:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;02:00;8560;223;11663;38;0;3382;-4;147;-6888
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;02:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;02:30;8639;223;11666;38;0;3166;-4;146;-6596
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;02:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;03:00;8458;223;11616;39;0;2961;-416;147;-6113
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;03:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;03:30;8389;223;11707;32;0;2828;-494;146;-6052
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;03:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;04:00;8216;222;11601;35;0;2584;-820;148;-5554
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;04:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;04:30;8145;221;11695;40;0;2281;-1464;147;-4776
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;04:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;05:00;8073;222;11652;39;0;2366;-1786;147;-4567
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;05:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;05:30;8149;221;11685;27;0;2372;-2021;145;-4279
Auvergne-Rhone-Alpes;Donnees definitives;01/01/2020;05:45;;;;;;;;;
