Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;00:00;8576;157;10710;62;0;3076;-167;137;78.92
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;00:30;8514;172;10622;82;0;3010;-164;132;78.28
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;01:00;8273;175;10652;78;0;2699;-163;132;78.5
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;01:30;8253;173;10662;75;0;2610;-164;132;78.57
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;02:00;8234;174;10600;62;0;2850;-166;131;78.11
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;02:30;8254;172;10552;49;0;2406;-313;132;77.76
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;03:00;8075;172;10462;44;0;2171;-976;131;77.1
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;03:30;8012;175;10601;43;0;2502;-975;132;78.12
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;04:00;7824;175;10496;41;0;2327;-1295;132;77.35
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;04:30;7891;175;10604;46;0;2622;-1613;131;78.14
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;05:00;7719;175;10609;48;0;2217;-1611;131;78.18
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;05:30;7812;175;10605;56;0;2168;-1975;130;78.15
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;06:00;7751;175;10606;58;0;2204;-2170;130;78.16
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;06:30;7688;175;10619;71;0;2261;-2169;130;78.25
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;07:00;7665;175;10617;73;0;2686;-2168;129;78.24
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;07:30;7636;175;10624;96;0;2908;-2092;129;78.29
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;08:00;7727;174;10656;96;0;2974;-2060;131;78.53
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;08:30;7564;172;10618;94;0;2403;-1979;131;78.25
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;08:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;09:00;7704;164;10614;91;6;2336;-1614;130;78.22
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;09:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;09:30;7840;164;10601;94;28;2344;-1615;129;78.12
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;09:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;10:00;7975;164;10607;92;60;2215;-1505;129;78.17
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;10:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;10:30;8101;164;10631;90;95;2370;-1288;127;78.34
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;10:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;11:00;8211;164;10679;92;126;2407;-1286;127;78.7
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;11:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;11:30;8383;164;10721;91;160;2389;-1285;129;79.01
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;11:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;12:00;8524;164;10695;89;196;2428;-57;127;78.81
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;12:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;12:30;8619;164;10562;95;207;2526;-7;129;77.83
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;12:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;13:00;8753;164;10587;93;196;2511;-7;130;78.02
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;13:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;13:30;8585;163;10678;98;186;2679;-508;130;78.69
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;13:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;14:00;8384;163;10643;103;171;2741;-804;129;78.43
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;14:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;14:30;8213;164;10681;101;157;2902;-1288;130;78.71
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;14:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;15:00;8060;164;10557;105;113;2704;-1289;130;77.8
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;15:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;15:30;8043;164;10616;113;87;2750;-1287;129;78.23
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;15:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;16:00;8105;164;10612;114;51;2656;-1288;129;78.2
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;16:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;16:30;8149;164;10656;112;26;2513;-423;129;78.53
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;16:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;17:00;8149;164;10775;121;4;2592;-166;128;79.4
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;17:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;17:30;8425;164;10763;125;0;2890;-54;126;79.31
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;17:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;18:00;8629;164;10812;132;0;4214;-3;126;79.68
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;18:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;18:30;8763;164;10818;130;0;4283;-3;121;79.72
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;18:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;19:00;9017;165;10823;124;0;4384;-3;122;79.76
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;19:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;19:30;9079;164;10830;124;0;4225;-3;121;79.81
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;19:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;20:00;8992;166;10825;129;0;3898;-3;119;79.77
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;20:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;20:30;8913;166;10826;127;0;3821;-3;125;79.78
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;20:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;21:00;8805;166;10820;128;0;3030;-3;128;79.73
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;21:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;21:30;8553;166;10732;137;0;3175;-23;128;79.09
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;21:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;22:00;8370;166;10721;138;0;2721;-164;129;79.01
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;22:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;22:30;8569;166;10733;138;0;2468;-164;130;79.09
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;22:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;23:00;8816;166;10732;139;0;3009;-163;129;79.09
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;23:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;23:30;8896;166;10732;143;0;2598;-164;129;79.09
Auvergne-Rhone-Alpes;Donnees consolidees;01/01/2021;23:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;00:00;8596;166;10634;146;0;2816;-164;129;78.36
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;00:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;00:30;8453;166;10614;145;0;2709;-164;128;78.22
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;00:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;01:00;8212;166;10608;152;0;2373;-163;128;78.17
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;01:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;01:30;8227;166;10551;147;0;2388;-164;128;77.75
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;01:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;02:00;8223;166;10530;151;0;1982;-166;129;77.6
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;02:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;02:30;8284;166;10592;149;0;1799;-440;129;78.05
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;02:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;03:00;8152;166;10579;149;0;1846;-972;128;77.96
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;03:15;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;03:30;8129;166;10591;147;0;1999;-1933;126;78.05
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;03:45;;;;;;;;;
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;04:00;8004;166;10505;155;0;2027;-2007;127;77.41
Auvergne-Rhone-Alpes;Donnees consolidees;02/01/2021;04:15;;;;;;;;;
