Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;00:00;5734;369;8568;18;0;3567;0;109;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;00:15;5694;379;8571;18;0;2592;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;00:30;5620;245;8587;18;0;2481;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;00:45;5374;233;8594;19;0;2175;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;01:00;5431;234;8588;19;0;2195;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;01:15;5373;255;8589;20;0;2486;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;01:30;5426;252;8591;19;0;2459;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;01:45;5348;249;8593;18;0;2473;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;02:00;5409;253;8596;18;0;2288;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;02:15;5426;276;8585;19;0;2405;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;02:30;5559;266;8585;21;0;2458;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;02:45;5493;261;8589;21;0;2420;0;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;03:00;5492;253;8597;22;0;2296;-314;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;03:15;5553;255;8593;21;0;2297;-314;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;03:30;5234;259;8592;21;0;2238;-314;108;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;03:45;5186;248;8596;19;0;2142;-554;109;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;04:00;5209;257;8600;20;0;2114;-788;109;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;04:15;5233;267;8604;21;0;2085;-1023;109;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;04:30;5125;274;8633;22;0;2132;-1019;110;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;04:45;5247;259;8625;23;0;2120;-785;111;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;05:00;5267;255;8612;22;0;2081;-785;110;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;05:15;5342;251;8624;27;0;2122;-785;110;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;05:30;5371;245;8624;27;0;2232;-785;111;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;05:45;5324;252;8629;30;0;2303;-785;111;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;06:00;5414;238;8630;31;11;2368;-785;111;ND
Auvergne-Rhone-Alpes;Donnees temps reel;01/06/2022;06:15;5518;252;8629;33;22;2560;-785;111;ND
