Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Bourgogne-Franche-Comté;Données définitives;01/01/2016;00:00;2456;117;-;85;0;23;0;19;2213
Bourgogne-Franche-Comté;Données définitives;01/01/2016;00:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;00:30;2330;119;-;96;0;22;0;19;2075
Bourgogne-Franche-Comté;Données définitives;01/01/2016;00:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;01:00;2243;119;-;87;0;22;0;19;1996
Bourgogne-Franche-Comté;Données définitives;01/01/2016;01:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;01:30;2332;118;-;79;0;22;0;18;2095
Bourgogne-Franche-Comté;Données définitives;01/01/2016;01:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;02:00;2407;121;-;78;0;23;0;18;2168
Bourgogne-Franche-Comté;Données définitives;01/01/2016;02:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;02:30;2411;114;-;69;0;23;0;18;2188
Bourgogne-Franche-Comté;Données définitives;01/01/2016;02:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;03:00;2273;113;-;57;0;22;0;18;2063
Bourgogne-Franche-Comté;Données définitives;01/01/2016;03:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;03:30;2359;103;-;41;0;24;0;18;2173
Bourgogne-Franche-Comté;Données définitives;01/01/2016;03:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;04:00;2242;102;-;30;0;24;0;18;2069
Bourgogne-Franche-Comté;Données définitives;01/01/2016;04:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;04:30;2178;109;-;25;0;24;0;18;2002
Bourgogne-Franche-Comté;Données définitives;01/01/2016;04:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;05:00;2204;114;-;17;0;24;0;18;2031
Bourgogne-Franche-Comté;Données définitives;01/01/2016;05:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;05:30;2114;103;-;14;0;24;0;17;1957
Bourgogne-Franche-Comté;Données définitives;01/01/2016;05:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;06:00;2161;103;-;11;0;24;0;17;2006
Bourgogne-Franche-Comté;Données définitives;01/01/2016;06:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;06:30;2213;104;-;16;0;24;0;17;2052
Bourgogne-Franche-Comté;Données définitives;01/01/2016;06:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;07:00;2194;102;-;19;0;32;0;18;2024
Bourgogne-Franche-Comté;Données définitives;01/01/2016;07:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;07:30;2210;103;-;19;0;79;0;18;1991
Bourgogne-Franche-Comté;Données définitives;01/01/2016;07:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;08:00;2226;102;-;19;0;86;0;18;2001
Bourgogne-Franche-Comté;Données définitives;01/01/2016;08:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;08:30;2158;102;-;30;0;74;0;17;1936
Bourgogne-Franche-Comté;Données définitives;01/01/2016;08:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;09:00;2179;104;-;38;3;77;0;16;1941
Bourgogne-Franche-Comté;Données définitives;01/01/2016;09:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;09:30;2191;104;-;45;11;83;0;16;1933
Bourgogne-Franche-Comté;Données définitives;01/01/2016;09:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;10:00;2241;103;-;47;20;81;0;16;1975
Bourgogne-Franche-Comté;Données définitives;01/01/2016;10:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;10:30;2269;104;-;43;32;89;0;16;1985
Bourgogne-Franche-Comté;Données définitives;01/01/2016;10:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;11:00;2309;115;-;42;42;84;0;16;2009
Bourgogne-Franche-Comté;Données définitives;01/01/2016;11:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;11:30;2330;116;-;40;49;83;0;17;2025
Bourgogne-Franche-Comté;Données définitives;01/01/2016;11:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;12:00;2363;114;-;48;57;23;0;18;2104
Bourgogne-Franche-Comté;Données définitives;01/01/2016;12:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;12:30;2485;115;-;60;63;23;0;18;2207
Bourgogne-Franche-Comté;Données définitives;01/01/2016;12:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;13:00;2458;114;-;67;47;24;0;18;2188
Bourgogne-Franche-Comté;Données définitives;01/01/2016;13:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;13:30;2331;114;-;72;43;24;0;18;2061
Bourgogne-Franche-Comté;Données définitives;01/01/2016;13:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;14:00;2245;115;-;83;35;24;0;18;1970
Bourgogne-Franche-Comté;Données définitives;01/01/2016;14:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;14:30;2270;115;-;93;35;24;0;18;1985
Bourgogne-Franche-Comté;Données définitives;01/01/2016;14:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;15:00;2217;117;-;100;25;24;0;17;1935
Bourgogne-Franche-Comté;Données définitives;01/01/2016;15:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;15:30;2195;115;-;103;15;24;0;17;1920
Bourgogne-Franche-Comté;Données définitives;01/01/2016;15:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;16:00;2175;113;-;126;9;24;0;17;1886
Bourgogne-Franche-Comté;Données définitives;01/01/2016;16:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;16:30;2140;112;-;152;3;24;0;17;1831
Bourgogne-Franche-Comté;Données définitives;01/01/2016;16:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;17:00;2253;114;-;152;0;33;0;17;1937
Bourgogne-Franche-Comté;Données définitives;01/01/2016;17:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;17:30;2376;114;-;144;0;78;0;17;2024
Bourgogne-Franche-Comté;Données définitives;01/01/2016;17:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;18:00;2465;115;-;144;0;84;0;17;2106
Bourgogne-Franche-Comté;Données définitives;01/01/2016;18:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;18:30;2516;115;-;178;0;82;0;16;2126
Bourgogne-Franche-Comté;Données définitives;01/01/2016;18:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;19:00;2590;116;-;189;0;87;0;16;2183
Bourgogne-Franche-Comté;Données définitives;01/01/2016;19:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;19:30;2598;116;-;187;0;131;0;16;2149
Bourgogne-Franche-Comté;Données définitives;01/01/2016;19:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;20:00;2616;116;-;220;0;36;0;17;2229
Bourgogne-Franche-Comté;Données définitives;01/01/2016;20:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;20:30;2599;109;-;214;0;23;0;15;2238
Bourgogne-Franche-Comté;Données définitives;01/01/2016;20:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;21:00;2620;109;-;207;0;23;0;15;2266
Bourgogne-Franche-Comté;Données définitives;01/01/2016;21:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;21:30;2658;112;-;180;0;22;0;16;2329
Bourgogne-Franche-Comté;Données définitives;01/01/2016;21:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;22:00;2544;115;-;184;0;22;0;17;2207
Bourgogne-Franche-Comté;Données définitives;01/01/2016;22:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;22:30;2510;116;-;191;0;22;0;17;2164
Bourgogne-Franche-Comté;Données définitives;01/01/2016;22:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;23:00;2512;115;-;204;0;22;0;16;2155
Bourgogne-Franche-Comté;Données définitives;01/01/2016;23:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2016;23:30;2417;115;-;213;0;22;0;16;2052
Bourgogne-Franche-Comté;Données définitives;01/01/2016;23:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;00:00;2351;115;-;225;0;29;0;17;1966
Bourgogne-Franche-Comté;Données définitives;02/01/2016;00:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;00:30;2208;114;-;231;0;75;0;17;1771
Bourgogne-Franche-Comté;Données définitives;02/01/2016;00:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;01:00;2187;114;-;218;0;73;0;17;1766
Bourgogne-Franche-Comté;Données définitives;02/01/2016;01:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;01:30;2213;113;-;205;0;22;0;17;1856
Bourgogne-Franche-Comté;Données définitives;02/01/2016;01:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;02:00;2276;115;-;198;0;22;0;16;1926
Bourgogne-Franche-Comté;Données définitives;02/01/2016;02:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;02:30;2342;113;-;200;0;22;0;16;1991
Bourgogne-Franche-Comté;Données définitives;02/01/2016;02:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;03:00;2235;114;-;196;0;22;0;16;1887
Bourgogne-Franche-Comté;Données définitives;02/01/2016;03:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;03:30;2227;113;-;193;0;22;0;16;1883
Bourgogne-Franche-Comté;Données définitives;02/01/2016;03:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;04:00;2154;113;-;207;0;22;0;16;1797
Bourgogne-Franche-Comté;Données définitives;02/01/2016;04:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;04:30;2128;114;-;202;0;22;0;16;1774
Bourgogne-Franche-Comté;Données définitives;02/01/2016;04:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;05:00;2104;113;-;199;0;22;0;16;1754
Bourgogne-Franche-Comté;Données définitives;02/01/2016;05:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;05:30;2146;112;-;173;0;23;0;16;1821
Bourgogne-Franche-Comté;Données définitives;02/01/2016;05:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;02/01/2016;06:00;2130;113;-;149;0;24;0;16;1829
Bourgogne-Franche-Comté;Données définitives;02/01/2016;06:15;;;;;;;;;
