Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;00:00;2410;164;-;524;0;224;0;24;1475
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;00:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;00:30;2290;158;-;513;0;219;0;28;1372
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;00:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;01:00;2248;160;-;508;0;173;0;28;1379
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;01:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;01:30;2286;163;-;520;0;173;0;28;1403
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;01:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;02:00;2351;163;-;526;0;173;0;28;1461
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;02:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;02:30;2382;163;-;506;0;173;0;27;1513
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;02:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;03:00;2269;163;-;486;0;172;0;27;1421
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;03:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;03:30;2281;163;-;493;0;173;0;27;1424
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;03:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;04:00;2208;163;-;494;0;172;0;28;1351
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;04:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;04:30;2188;163;-;485;0;173;0;26;1341
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;04:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;05:00;2160;164;-;462;0;173;0;25;1337
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;05:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;05:30;2139;164;-;459;0;173;0;27;1317
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;05:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;06:00;2165;163;-;454;0;173;0;27;1347
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;06:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;06:30;2133;163;-;442;0;177;0;27;1325
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;06:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;07:00;2123;162;-;433;0;176;0;26;1327
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;07:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;07:30;2163;162;-;485;0;176;0;26;1314
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;07:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;08:00;2192;162;-;463;0;176;0;27;1365
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;08:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;08:30;2165;161;-;453;0;176;0;27;1347
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;08:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;09:00;2153;162;-;487;1;174;0;27;1302
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;09:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;09:30;2202;162;-;496;12;174;0;27;1332
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;09:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;10:00;2230;161;-;492;17;182;0;27;1351
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;10:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;10:30;2269;162;-;477;22;224;0;27;1358
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;10:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;11:00;2305;161;-;503;22;225;0;28;1366
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;11:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;11:30;2417;162;-;545;15;225;0;27;1444
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;11:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;12:00;2478;162;-;564;13;246;0;27;1467
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;12:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;12:30;2626;162;-;553;14;299;0;27;1572
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;12:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;13:00;2692;161;-;542;8;297;0;26;1658
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;13:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;13:30;2537;162;-;568;8;296;0;26;1476
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;13:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;14:00;2498;161;-;501;5;294;0;27;1510
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;14:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;14:30;2415;162;-;499;3;294;0;27;1431
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;14:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;15:00;2378;161;-;528;3;291;0;27;1368
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;15:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;15:30;2377;162;-;569;3;296;0;27;1321
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;15:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;16:00;2335;162;-;553;1;299;0;27;1293
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;16:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;16:30;2341;162;-;530;0;299;0;27;1324
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;16:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;17:00;2445;161;-;528;0;297;0;27;1431
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;17:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;17:30;2530;161;-;548;0;298;0;27;1496
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;17:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;18:00;2588;161;-;551;0;295;0;27;1553
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;18:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;18:30;2637;159;-;542;0;300;0;27;1610
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;18:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;19:00;2692;157;-;544;0;299;0;27;1665
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;19:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;19:30;2744;159;-;542;0;299;0;26;1717
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;19:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;20:00;2681;161;-;524;0;299;0;26;1670
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;20:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;20:30;2698;161;-;499;0;300;0;27;1712
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;20:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;21:00;2636;161;-;518;0;299;0;27;1631
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;21:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;21:30;2696;161;-;534;0;299;0;27;1675
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;21:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;22:00;2664;162;-;544;0;297;0;27;1634
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;22:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees definitives;01/01/2018;22:30;2624;162;-;514;0;296;0;27;1626
