Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;00:00;2671;125;-;44;0;75;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;00:30;2618;137;-;71;0;75;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;01:00;2576;136;-;69;0;75;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;01:30;2604;137;-;61;0;74;0;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;02:00;2646;136;-;54;0;74;0;43;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;02:30;2644;136;-;50;0;75;0;41;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;03:00;2561;136;-;55;0;126;0;41;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;03:30;2538;136;-;56;0;322;0;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;04:00;2468;136;-;50;0;74;0;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;04:30;2422;136;-;46;0;74;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;05:00;2385;136;-;46;0;74;-1;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;05:30;2406;136;-;42;0;74;-65;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;06:00;2409;136;-;40;0;74;-65;37;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;06:30;2466;136;-;39;0;75;0;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;07:00;2484;136;-;41;0;75;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;07:30;2481;136;-;40;0;80;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;08:00;2524;136;-;40;0;80;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;08:30;2516;136;-;41;0;80;-2;41;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;08:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;09:00;2531;137;-;41;2;82;-65;37;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;09:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;09:30;2557;136;-;41;10;84;-65;38;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;09:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;10:00;2607;136;-;40;22;84;0;38;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;10:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;10:30;2652;136;-;40;35;81;0;38;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;10:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;11:00;2702;136;-;38;54;82;0;38;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;11:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;11:30;2733;136;-;35;79;79;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;11:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;12:00;2777;136;-;36;77;78;0;38;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;12:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;12:30;2909;136;-;37;84;77;0;38;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;12:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;13:00;2878;136;-;39;74;80;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;13:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;13:30;2773;137;-;38;73;79;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;13:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;14:00;2694;136;-;41;68;79;0;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;14:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;14:30;2681;136;-;44;58;78;0;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;14:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;15:00;2600;136;-;46;50;77;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;15:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;15:30;2588;136;-;46;50;77;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;15:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;16:00;2509;136;-;47;28;76;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;16:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;16:30;2547;137;-;48;11;76;0;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;16:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;17:00;2621;136;-;59;1;76;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;17:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;17:30;2711;136;-;73;0;77;0;39;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;17:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;18:00;2790;136;-;74;0;76;0;40;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;18:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;18:30;2877;136;-;84;0;76;0;38;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;18:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;19:00;2914;136;-;81;0;76;0;43;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;19:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;19:30;2891;136;-;84;0;84;0;45;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;19:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;20:00;2878;136;-;95;0;116;0;47;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;20:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;20:30;2884;136;-;94;0;122;0;46;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;20:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;21:00;2867;137;-;96;0;112;0;46;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;21:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;21:30;2910;136;-;99;0;118;0;47;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;21:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;22:00;2814;136;-;107;0;70;0;47;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;22:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;22:30;2776;136;-;109;0;70;0;47;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;22:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;23:00;2810;136;-;119;0;70;0;46;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;23:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;23:30;2669;136;-;117;0;70;0;46;-
Bourgogne-Franche-Comte;Donnees consolidees;01/01/2021;23:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;00:00;2631;136;-;119;0;119;0;46;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;00:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;00:30;2574;136;-;124;0;264;0;47;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;00:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;01:00;2508;136;-;114;0;70;0;45;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;01:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;01:30;2531;136;-;103;0;70;0;45;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;01:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;02:00;2596;136;-;112;0;70;0;45;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;02:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;02:30;2613;136;-;129;0;69;0;44;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;02:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;03:00;2542;136;-;143;0;69;0;44;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;03:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;03:30;2549;136;-;151;0;69;-5;45;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;03:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;04:00;2478;136;-;160;0;69;-65;48;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;04:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;04:30;2455;136;-;166;0;69;-65;44;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;04:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;05:00;2443;136;-;196;0;69;-65;44;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;05:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;05:30;2464;136;-;198;0;69;-65;44;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;05:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;06:00;2505;136;-;176;0;69;0;43;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;06:15;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;06:30;2561;136;-;173;0;73;0;44;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;06:45;;;;;;;;;
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;07:00;2598;136;-;165;0;73;0;44;-
Bourgogne-Franche-Comte;Donnees consolidees;02/01/2021;07:15;;;;;;;;;
