Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Bretagne;Données définitives;01/01/2017;00:00;4201;187;-;35;0;68;-2;37;3875
Bretagne;Données définitives;01/01/2017;00:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;00:30;4068;186;-;39;0;164;-1;40;3641
Bretagne;Données définitives;01/01/2017;00:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;01:00;3848;187;-;42;0;211;-1;39;3370
Bretagne;Données définitives;01/01/2017;01:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;01:30;3719;183;-;44;0;210;-1;39;3245
Bretagne;Données définitives;01/01/2017;01:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;02:00;3825;179;-;39;0;217;-1;40;3352
Bretagne;Données définitives;01/01/2017;02:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;02:30;3685;183;-;41;0;220;-1;40;3202
Bretagne;Données définitives;01/01/2017;02:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;03:00;3488;182;-;39;0;222;-1;40;3007
Bretagne;Données définitives;01/01/2017;03:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;03:30;3339;182;-;36;0;221;-1;39;2862
Bretagne;Données définitives;01/01/2017;03:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;04:00;3239;184;-;33;0;216;-1;39;2768
Bretagne;Données définitives;01/01/2017;04:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;04:30;3172;180;-;34;0;178;-1;39;2743
Bretagne;Données définitives;01/01/2017;04:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;05:00;3121;183;-;49;0;100;-1;38;2752
Bretagne;Données définitives;01/01/2017;05:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;05:30;3106;188;-;53;0;32;-1;38;2796
Bretagne;Données définitives;01/01/2017;05:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;06:00;3065;187;-;54;0;0;-1;39;2785
Bretagne;Données définitives;01/01/2017;06:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;06:30;3116;188;-;53;0;0;-1;40;2835
Bretagne;Données définitives;01/01/2017;06:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;07:00;3110;187;-;59;0;0;-1;40;2824
Bretagne;Données définitives;01/01/2017;07:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;07:30;3147;186;-;71;0;2;-1;40;2849
Bretagne;Données définitives;01/01/2017;07:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;08:00;3119;184;-;85;0;2;-1;40;2809
Bretagne;Données définitives;01/01/2017;08:15;;;;;;;;;
Bretagne;Données définitives;01/01/2017;08:30;3164;184;-;105;0;2;-1;39;2833
Bretagne;Données définitives;01/01/2017;08:45;;;;;;;;;
Bretagne;Données définitives;01/01/2017;09:00;3167;184;-;119;0;2;-1;40;2822
