Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques;;
Bretagne;Données définitives;01/01/2019;00:00;3327;234;-;8;0;10;-2;44;3032;ND;ND
Bretagne;Données définitives;01/01/2019;00:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;00:30;3230;252;-;10;0;8;-1;38;2923;ND;ND
Bretagne;Données définitives;01/01/2019;00:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;01:00;3000;251;-;12;0;8;-1;37;2694;ND;ND
Bretagne;Données définitives;01/01/2019;01:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;01:30;2883;246;-;9;0;8;-1;38;2583;ND;ND
Bretagne;Données définitives;01/01/2019;01:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;02:00;2979;250;-;10;0;8;-1;38;2674;ND;ND
Bretagne;Données définitives;01/01/2019;02:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;02:30;2806;241;-;13;0;8;-8;36;2516;ND;ND
Bretagne;Données définitives;01/01/2019;02:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;03:00;2622;240;-;18;0;8;-28;36;2349;ND;ND
Bretagne;Données définitives;01/01/2019;03:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;03:30;2495;240;-;17;0;8;-53;36;2248;ND;ND
Bretagne;Données définitives;01/01/2019;03:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;04:00;2413;239;-;17;0;8;-56;37;2167;ND;ND
Bretagne;Données définitives;01/01/2019;04:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;04:30;2369;239;-;16;0;8;-56;35;2129;ND;ND
Bretagne;Données définitives;01/01/2019;04:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;05:00;2329;238;-;11;0;8;-55;34;2092;ND;ND
Bretagne;Données définitives;01/01/2019;05:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;05:30;2344;239;-;11;0;8;-5;34;2058;ND;ND
Bretagne;Données définitives;01/01/2019;05:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;06:00;2331;243;-;15;0;8;0;35;2030;ND;ND
Bretagne;Données définitives;01/01/2019;06:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;06:30;2413;247;-;17;0;10;-1;35;2105;ND;ND
Bretagne;Données définitives;01/01/2019;06:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;07:00;2413;247;-;19;0;43;-1;34;2071;ND;ND
Bretagne;Données définitives;01/01/2019;07:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;07:30;2445;247;-;23;0;82;-1;35;2058;ND;ND
Bretagne;Données définitives;01/01/2019;07:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;08:00;2443;248;-;28;0;106;-1;35;2026;ND;ND
Bretagne;Données définitives;01/01/2019;08:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;08:30;2448;249;-;32;0;134;-1;36;1998;ND;ND
Bretagne;Données définitives;01/01/2019;08:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;09:00;2436;248;-;35;0;145;-1;35;1975;ND;ND
Bretagne;Données définitives;01/01/2019;09:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;09:30;2439;248;-;43;0;149;-1;34;1966;ND;ND
Bretagne;Données définitives;01/01/2019;09:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;10:00;2498;249;-;51;1;143;-1;37;2018;ND;ND
Bretagne;Données définitives;01/01/2019;10:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;10:30;2523;250;-;49;3;126;-1;37;2059;ND;ND
Bretagne;Données définitives;01/01/2019;10:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;11:00;2575;249;-;41;5;102;-1;36;2144;ND;ND
Bretagne;Données définitives;01/01/2019;11:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;11:30;2634;252;-;38;8;68;-1;35;2234;ND;ND
Bretagne;Données définitives;01/01/2019;11:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;12:00;2706;252;-;43;10;38;-1;36;2329;ND;ND
Bretagne;Données définitives;01/01/2019;12:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;12:30;2834;252;-;47;12;13;-2;37;2475;ND;ND
Bretagne;Données définitives;01/01/2019;12:45;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;13:00;2943;252;-;55;12;11;-1;37;2577;ND;ND
Bretagne;Données définitives;01/01/2019;13:15;;;;;;;;;;ND;ND
Bretagne;Données définitives;01/01/2019;13:30;2829;252;-;59;13;11;-1;37;2459;ND;ND
