Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Bretagne;Donnees definitives;01/01/2020;00:00;3595;240;-;124;0;15;-58;49;3225
Bretagne;Donnees definitives;01/01/2020;00:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;00:30;3501;246;-;134;0;15;-58;50;3114
Bretagne;Donnees definitives;01/01/2020;00:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;01:00;3282;246;-;132;0;15;-1;48;2841
Bretagne;Donnees definitives;01/01/2020;01:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;01:30;3165;243;-;108;0;15;-1;48;2751
Bretagne;Donnees definitives;01/01/2020;01:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;02:00;3249;238;-;91;0;15;-1;49;2856
Bretagne;Donnees definitives;01/01/2020;02:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;02:30;3111;237;-;86;0;110;-1;48;2630
Bretagne;Donnees definitives;01/01/2020;02:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;03:00;2937;242;-;74;0;138;-1;49;2435
Bretagne;Donnees definitives;01/01/2020;03:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;03:30;2818;238;-;72;0;182;-1;48;2279
Bretagne;Donnees definitives;01/01/2020;03:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;04:00;2732;241;-;58;0;193;-1;49;2193
Bretagne;Donnees definitives;01/01/2020;04:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;04:30;2665;241;-;52;0;197;-1;48;2128
Bretagne;Donnees definitives;01/01/2020;04:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;05:00;2622;245;-;51;0;192;-1;49;2086
Bretagne;Donnees definitives;01/01/2020;05:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;05:30;2625;245;-;50;0;176;-1;46;2108
Bretagne;Donnees definitives;01/01/2020;05:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;06:00;2612;245;-;47;0;143;-1;47;2130
Bretagne;Donnees definitives;01/01/2020;06:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;06:30;2682;245;-;35;0;105;-1;46;2252
Bretagne;Donnees definitives;01/01/2020;06:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;07:00;2679;245;-;33;0;61;-1;45;2295
Bretagne;Donnees definitives;01/01/2020;07:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;07:30;2703;245;-;33;0;20;-3;46;2362
Bretagne;Donnees definitives;01/01/2020;07:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;08:00;2679;245;-;28;0;19;0;47;2340
Bretagne;Donnees definitives;01/01/2020;08:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;08:30;2705;245;-;22;0;19;-1;48;2371
Bretagne;Donnees definitives;01/01/2020;08:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;09:00;2678;243;-;19;0;19;-1;47;2350
Bretagne;Donnees definitives;01/01/2020;09:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;09:30;2671;243;-;17;0;19;-1;47;2346
Bretagne;Donnees definitives;01/01/2020;09:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;10:00;2697;242;-;17;4;19;-1;46;2369
Bretagne;Donnees definitives;01/01/2020;10:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;10:30;2741;242;-;19;7;19;-26;47;2431
Bretagne;Donnees definitives;01/01/2020;10:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;11:00;2760;242;-;20;11;19;-57;47;2478
Bretagne;Donnees definitives;01/01/2020;11:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;11:30;2807;246;-;16;16;19;-57;47;2521
Bretagne;Donnees definitives;01/01/2020;11:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;12:00;2851;246;-;13;19;19;-58;47;2565
Bretagne;Donnees definitives;01/01/2020;12:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;12:30;2961;247;-;11;21;19;-57;48;2672
Bretagne;Donnees definitives;01/01/2020;12:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;13:00;3059;246;-;10;22;19;-57;48;2771
Bretagne;Donnees definitives;01/01/2020;13:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;13:30;2936;246;-;8;21;19;-1;47;2595
Bretagne;Donnees definitives;01/01/2020;13:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;14:00;2848;246;-;7;20;19;0;47;2510
Bretagne;Donnees definitives;01/01/2020;14:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;14:30;2771;245;-;8;18;19;-1;48;2434
Bretagne;Donnees definitives;01/01/2020;14:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;15:00;2664;245;-;10;17;126;-1;48;2220
Bretagne;Donnees definitives;01/01/2020;15:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;15:30;2616;247;-;8;13;160;-1;48;2140
Bretagne;Donnees definitives;01/01/2020;15:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;16:00;2641;247;-;7;10;193;-1;48;2137
Bretagne;Donnees definitives;01/01/2020;16:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;16:30;2590;247;-;9;5;203;-1;49;2078
Bretagne;Donnees definitives;01/01/2020;16:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;17:00;2649;247;-;10;2;203;-1;50;2139
Bretagne;Donnees definitives;01/01/2020;17:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;17:30;2718;248;-;8;0;196;-1;47;2220
Bretagne;Donnees definitives;01/01/2020;17:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;18:00;2898;248;-;8;0;175;-1;48;2421
Bretagne;Donnees definitives;01/01/2020;18:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;18:30;2962;249;-;10;0;139;-1;48;2517
Bretagne;Donnees definitives;01/01/2020;18:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;19:00;3046;249;-;12;0;102;-1;49;2637
Bretagne;Donnees definitives;01/01/2020;19:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;19:30;3039;249;-;12;0;61;-1;47;2671
Bretagne;Donnees definitives;01/01/2020;19:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;20:00;2994;245;-;13;0;20;-3;51;2668
Bretagne;Donnees definitives;01/01/2020;20:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;20:30;2934;242;-;14;0;20;0;48;2611
Bretagne;Donnees definitives;01/01/2020;20:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;21:00;2852;245;-;18;0;20;-1;48;2523
Bretagne;Donnees definitives;01/01/2020;21:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;21:30;2781;249;-;17;0;20;-1;49;2448
Bretagne;Donnees definitives;01/01/2020;21:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;22:00;2878;249;-;19;0;20;-1;50;2543
Bretagne;Donnees definitives;01/01/2020;22:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;22:30;2871;249;-;24;0;15;-20;51;2553
Bretagne;Donnees definitives;01/01/2020;22:45;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;23:00;3070;249;-;24;0;14;-25;50;2758
Bretagne;Donnees definitives;01/01/2020;23:15;;;;;;;;;
Bretagne;Donnees definitives;01/01/2020;23:30;2930;249;-;26;0;14;-57;51;2647
Bretagne;Donnees definitives;01/01/2020;23:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;00:00;3182;249;-;28;0;14;-57;52;2897
Bretagne;Donnees definitives;02/01/2020;00:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;00:30;3043;249;-;28;0;14;-58;52;2759
Bretagne;Donnees definitives;02/01/2020;00:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;01:00;2804;249;-;34;0;14;-58;51;2514
Bretagne;Donnees definitives;02/01/2020;01:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;01:30;2708;249;-;35;0;14;0;49;2361
Bretagne;Donnees definitives;02/01/2020;01:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;02:00;2819;249;-;36;0;16;0;50;2469
Bretagne;Donnees definitives;02/01/2020;02:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;02:30;2691;249;-;37;0;16;-1;49;2341
Bretagne;Donnees definitives;02/01/2020;02:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;03:00;2546;243;-;43;0;80;-1;49;2132
Bretagne;Donnees definitives;02/01/2020;03:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;03:30;2479;243;-;48;0;120;-1;48;2020
Bretagne;Donnees definitives;02/01/2020;03:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;04:00;2450;246;-;57;0;141;-1;50;1958
Bretagne;Donnees definitives;02/01/2020;04:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;04:30;2459;245;-;64;0;151;-1;48;1951
Bretagne;Donnees definitives;02/01/2020;04:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;05:00;2484;245;-;71;0;162;-1;48;1959
Bretagne;Donnees definitives;02/01/2020;05:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;05:30;2589;246;-;90;0;153;-1;47;2054
Bretagne;Donnees definitives;02/01/2020;05:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;06:00;2637;246;-;100;0;143;-1;46;2104
Bretagne;Donnees definitives;02/01/2020;06:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;06:30;2819;246;-;113;0;120;-1;45;2296
Bretagne;Donnees definitives;02/01/2020;06:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;07:00;2927;246;-;126;0;88;-1;45;2423
Bretagne;Donnees definitives;02/01/2020;07:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;07:30;3056;247;-;155;0;55;-1;46;2553
Bretagne;Donnees definitives;02/01/2020;07:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;08:00;3119;248;-;169;0;22;-3;45;2637
Bretagne;Donnees definitives;02/01/2020;08:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;08:30;3231;256;-;197;0;20;-1;45;2713
Bretagne;Donnees definitives;02/01/2020;08:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;09:00;3291;255;-;230;0;20;-1;47;2739
Bretagne;Donnees definitives;02/01/2020;09:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;09:30;3299;253;-;242;1;17;-1;46;2742
Bretagne;Donnees definitives;02/01/2020;09:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;10:00;3344;252;-;266;5;17;-1;46;2758
Bretagne;Donnees definitives;02/01/2020;10:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;10:30;3365;252;-;286;9;18;-13;46;2767
Bretagne;Donnees definitives;02/01/2020;10:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;11:00;3384;251;-;315;13;19;-23;47;2762
Bretagne;Donnees definitives;02/01/2020;11:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;11:30;3430;252;-;351;17;19;-55;45;2801
Bretagne;Donnees definitives;02/01/2020;11:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;12:00;3475;252;-;397;21;20;-60;46;2798
Bretagne;Donnees definitives;02/01/2020;12:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;12:30;3553;252;-;449;23;20;-57;48;2817
Bretagne;Donnees definitives;02/01/2020;12:45;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;13:00;3613;252;-;511;25;20;-56;47;2814
Bretagne;Donnees definitives;02/01/2020;13:15;;;;;;;;;
Bretagne;Donnees definitives;02/01/2020;13:30;3426;252;-;560;24;20;-55;47;2577
