Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Bretagne;Donnees consolidees;01/01/2021;00:00;3984;226;-;1;1;184;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;00:30;3968;239;-;47;0;222;-1;50;-
Bretagne;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;01:00;3780;240;-;47;0;245;-1;50;-
Bretagne;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;01:30;3705;239;-;52;0;248;-1;50;-
Bretagne;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;02:00;3790;232;-;57;0;248;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;02:30;3663;233;-;71;0;247;-1;50;-
Bretagne;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;03:00;3489;237;-;88;0;245;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;03:30;3375;237;-;108;0;233;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;04:00;3291;240;-;119;0;187;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;04:30;3242;240;-;140;0;117;-1;50;-
Bretagne;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;05:00;3198;240;-;160;0;52;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;05:30;3230;240;-;185;0;19;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;06:00;3240;241;-;183;0;19;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;06:30;3356;240;-;189;0;19;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;07:00;3370;238;-;193;0;19;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;07:30;3414;237;-;204;0;19;-1;51;-
Bretagne;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
Bretagne;Donnees consolidees;01/01/2021;08:00;3429;236;-;205;0;19;-1;50;-
Bretagne;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
