Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Bretagne;Donnees temps reel;01/06/2022;00:00;2292;392;-;103;0;1;-3;45;ND
Bretagne;Donnees temps reel;01/06/2022;00:15;2245;404;-;105;0;116;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;00:30;2108;274;-;112;0;156;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;00:45;1979;228;-;116;0;165;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;01:00;1896;231;-;119;0;185;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;01:15;1858;250;-;116;0;206;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;01:30;1908;248;-;117;0;214;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;01:45;2011;244;-;129;0;220;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;02:00;1957;250;-;119;0;222;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;02:15;1914;274;-;111;0;224;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;02:30;1836;264;-;110;0;223;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;02:45;1782;253;-;109;0;223;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;03:00;1719;249;-;96;0;225;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;03:15;1724;249;-;98;0;223;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;03:30;1705;253;-;96;0;222;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;03:45;1689;244;-;88;0;220;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;04:00;1691;252;-;85;0;210;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;04:15;1697;260;-;85;0;200;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;04:30;1692;272;-;91;0;173;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;04:45;1697;255;-;92;0;142;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;05:00;1711;246;-;77;0;113;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;05:15;1753;247;-;70;0;77;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;05:30;1782;240;-;75;0;48;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;05:45;1814;248;-;76;0;23;0;45;ND
Bretagne;Donnees temps reel;01/06/2022;06:00;1860;232;-;79;0;1;-5;45;ND
Bretagne;Donnees temps reel;01/06/2022;06:15;1925;248;-;78;2;1;-3;45;ND
Bretagne;Donnees temps reel;01/06/2022;06:30;1965;252;-;79;5;1;-5;45;ND
Bretagne;Donnees temps reel;01/06/2022;06:45;2043;447;-;78;7;1;-4;45;ND
Bretagne;Donnees temps reel;01/06/2022;07:00;2085;447;-;80;10;1;-2;45;ND
Bretagne;Donnees temps reel;01/06/2022;07:15;2143;447;-;85;16;1;-3;45;ND
Bretagne;Donnees temps reel;01/06/2022;07:30;2211;447;-;84;23;1;-3;45;ND
Bretagne;Donnees temps reel;01/06/2022;07:45;2202;447;-;81;30;1;-4;45;ND
Bretagne;Donnees temps reel;01/06/2022;08:00;2255;447;-;82;37;1;-4;45;ND
Bretagne;Donnees temps reel;01/06/2022;08:15;2287;447;-;70;51;1;-3;45;ND
Bretagne;Donnees temps reel;01/06/2022;08:30;2316;447;-;56;64;1;-3;45;ND
Bretagne;Donnees temps reel;01/06/2022;08:45;2336;447;-;40;77;1;-4;45;ND
Bretagne;Donnees temps reel;01/06/2022;09:00;2343;447;-;36;91;1;-5;45;ND
Bretagne;Donnees temps reel;01/06/2022;09:15;2374;447;-;33;111;1;-29;45;ND
Bretagne;Donnees temps reel;01/06/2022;09:30;2367;447;-;38;126;1;-51;45;ND
Bretagne;Donnees temps reel;01/06/2022;09:45;2382;447;-;36;141;1;-53;45;ND
Bretagne;Donnees temps reel;01/06/2022;10:00;2350;447;-;37;157;1;-57;45;ND
Bretagne;Donnees temps reel;01/06/2022;10:15;2356;447;-;40;175;1;-54;45;ND
Bretagne;Donnees temps reel;01/06/2022;10:30;2359;447;-;41;187;1;-59;45;ND
Bretagne;Donnees temps reel;01/06/2022;10:45;2371;447;-;39;200;1;-59;45;ND
Bretagne;Donnees temps reel;01/06/2022;11:00;2347;447;-;33;212;1;-60;45;ND
Bretagne;Donnees temps reel;01/06/2022;11:15;2363;447;-;42;221;1;-61;45;ND
Bretagne;Donnees temps reel;01/06/2022;11:30;2376;447;-;36;228;1;-3;45;ND
