Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Centre-Val de Loire;Donnees definitives;01/01/2020;00:00;2965;105;8013;18;0;49;-;62;-5282
Centre-Val de Loire;Donnees definitives;01/01/2020;00:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;00:30;2956;106;8004;31;0;49;-;61;-5295
Centre-Val de Loire;Donnees definitives;01/01/2020;00:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;01:00;2851;107;7995;30;0;22;-;62;-5365
Centre-Val de Loire;Donnees definitives;01/01/2020;01:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;01:30;2894;107;7997;40;0;21;-;61;-5334
Centre-Val de Loire;Donnees definitives;01/01/2020;01:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;02:00;2800;108;7997;36;0;21;-;61;-5422
Centre-Val de Loire;Donnees definitives;01/01/2020;02:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;02:30;2729;110;7994;32;0;20;-;61;-5489
Centre-Val de Loire;Donnees definitives;01/01/2020;02:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;03:00;2648;112;7994;34;0;20;-;61;-5573
Centre-Val de Loire;Donnees definitives;01/01/2020;03:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;03:30;2548;110;7992;36;0;19;-;60;-5670
Centre-Val de Loire;Donnees definitives;01/01/2020;03:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;04:00;2493;110;7996;31;0;18;-;61;-5724
Centre-Val de Loire;Donnees definitives;01/01/2020;04:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;04:30;2440;112;7930;33;0;17;-;61;-5712
Centre-Val de Loire;Donnees definitives;01/01/2020;04:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;05:00;2418;108;7915;44;0;16;-;62;-5727
Centre-Val de Loire;Donnees definitives;01/01/2020;05:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;05:30;2425;108;7910;56;0;15;-;61;-5725
Centre-Val de Loire;Donnees definitives;01/01/2020;05:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;06:00;2410;112;7912;63;0;15;-;61;-5754
Centre-Val de Loire;Donnees definitives;01/01/2020;06:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;06:30;2438;112;7915;74;0;15;-;61;-5739
Centre-Val de Loire;Donnees definitives;01/01/2020;06:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;07:00;2417;112;7912;87;0;6;-;62;-5762
Centre-Val de Loire;Donnees definitives;01/01/2020;07:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;07:30;2423;112;7907;105;0;6;-;62;-5769
Centre-Val de Loire;Donnees definitives;01/01/2020;07:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;08:00;2409;112;7900;98;0;6;-;62;-5770
Centre-Val de Loire;Donnees definitives;01/01/2020;08:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;08:30;2371;112;7907;93;0;6;-;61;-5809
Centre-Val de Loire;Donnees definitives;01/01/2020;08:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;09:00;2334;112;7911;95;0;6;-;60;-5851
Centre-Val de Loire;Donnees definitives;01/01/2020;09:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;09:30;2350;112;7953;112;2;6;-;61;-5897
Centre-Val de Loire;Donnees definitives;01/01/2020;09:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;10:00;2409;112;7945;119;6;6;-;61;-5840
Centre-Val de Loire;Donnees definitives;01/01/2020;10:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;10:30;2438;109;7953;108;10;6;-;60;-5807
Centre-Val de Loire;Donnees definitives;01/01/2020;10:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;11:00;2459;108;7954;99;17;5;-;60;-5785
Centre-Val de Loire;Donnees definitives;01/01/2020;11:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;11:30;2494;108;7952;88;20;4;-;61;-5739
Centre-Val de Loire;Donnees definitives;01/01/2020;11:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;12:00;2528;108;7940;69;22;7;-;60;-5676
Centre-Val de Loire;Donnees definitives;01/01/2020;12:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;12:30;2567;108;7946;53;25;12;-;61;-5637
Centre-Val de Loire;Donnees definitives;01/01/2020;12:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;13:00;2654;108;7950;43;25;12;-;62;-5546
Centre-Val de Loire;Donnees definitives;01/01/2020;13:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;13:30;2607;107;7984;44;23;12;-;61;-5625
Centre-Val de Loire;Donnees definitives;01/01/2020;13:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;14:00;2541;112;8033;51;23;12;-;60;-5749
Centre-Val de Loire;Donnees definitives;01/01/2020;14:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;14:30;2447;100;8100;55;19;12;-;59;-5898
Centre-Val de Loire;Donnees definitives;01/01/2020;14:45;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;15:00;2444;99;8149;56;20;12;-;59;-5951
Centre-Val de Loire;Donnees definitives;01/01/2020;15:15;;;;;;;;;
Centre-Val de Loire;Donnees definitives;01/01/2020;15:30;2393;106;8203;65;13;12;-;60;-6066
Centre-Val de Loire;Donnees definitives;01/01/2020;15:45;;;;;;;;;
