Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Centre-Val de Loire;Donnees consolidees;01/01/2021;00:00;2900;105;9019;27;0;12;-;65;77.55
Centre-Val de Loire;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;00:30;2977;104;9032;66;0;15;-;63;77.66
Centre-Val de Loire;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;01:00;2900;105;9075;63;0;21;-;63;78.03
Centre-Val de Loire;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;01:30;2942;105;9014;62;0;29;-;62;77.51
Centre-Val de Loire;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;02:00;2865;105;8931;61;0;29;-;63;76.79
Centre-Val de Loire;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;02:30;2826;107;8921;61;0;29;-;63;76.71
Centre-Val de Loire;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;03:00;2760;107;8953;59;0;38;-;64;76.98
Centre-Val de Loire;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;03:30;2703;107;9021;60;0;38;-;63;77.57
Centre-Val de Loire;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;04:00;2650;100;9078;59;0;38;-;62;78.06
Centre-Val de Loire;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;04:30;2638;100;9114;57;0;38;-;62;78.37
Centre-Val de Loire;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;05:00;2626;107;9132;55;0;38;-;61;78.52
Centre-Val de Loire;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;05:30;2631;107;9118;57;0;38;-;61;78.4
Centre-Val de Loire;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;06:00;2645;100;9162;60;0;38;-;60;78.78
Centre-Val de Loire;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;06:30;2688;107;9172;62;0;38;-;60;78.87
Centre-Val de Loire;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;07:00;2701;107;9176;62;0;38;-;61;78.9
Centre-Val de Loire;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;07:30;2732;107;9200;62;0;38;-;60;79.11
Centre-Val de Loire;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;08:00;2783;107;9257;67;0;38;-;61;79.6
Centre-Val de Loire;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;08:30;2766;108;9279;69;0;38;-;60;79.79
Centre-Val de Loire;Donnees consolidees;01/01/2021;08:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;09:00;2760;106;9323;73;1;37;-;60;80.16
Centre-Val de Loire;Donnees consolidees;01/01/2021;09:15;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;09:30;2799;106;9306;76;14;37;-;61;80.02
Centre-Val de Loire;Donnees consolidees;01/01/2021;09:45;;;;;;;;;
Centre-Val de Loire;Donnees consolidees;01/01/2021;10:00;2820;108;9325;74;40;37;-;60;80.18
