Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Centre-Val de Loire;Donnees temps reel;01/06/2022;00:00;1863;0;6809;196;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;00:15;1827;0;6842;192;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;00:30;1750;0;6830;188;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;00:45;1673;0;6491;190;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;01:00;1640;0;6264;188;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;01:15;1700;0;6312;175;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;01:30;1638;0;6312;179;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;01:45;1591;0;6301;174;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;02:00;1582;0;6322;167;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;02:15;1575;0;6367;156;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;02:30;1524;0;6363;145;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;02:45;1506;0;6345;133;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;03:00;1458;0;6322;124;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;03:15;1447;0;6328;135;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;03:30;1435;0;6347;136;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;03:45;1400;0;6321;129;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;04:00;1402;0;6345;128;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;04:15;1402;0;6370;124;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;04:30;1408;0;6397;123;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;04:45;1402;0;6489;115;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;05:00;1416;0;6633;112;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;05:15;1430;0;6768;107;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;05:30;1461;0;6882;107;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;05:45;1467;0;6972;81;0;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;06:00;1516;0;6974;70;13;4;-;48;ND
Centre-Val de Loire;Donnees temps reel;01/06/2022;06:15;1577;0;6982;59;17;4;-;48;ND
