Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Grand-Est;Donnees definitives;01/01/2019;00:00;5123;240;12271;31;0;826;0;112;-8356
Grand-Est;Donnees definitives;01/01/2019;00:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;00:30;5034;235;12336;37;0;1064;0;113;-8750
Grand-Est;Donnees definitives;01/01/2019;00:45;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;01:00;4903;236;12090;36;0;1002;0;114;-8575
Grand-Est;Donnees definitives;01/01/2019;01:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;01:30;4940;235;12214;45;0;1028;0;113;-8693
Grand-Est;Donnees definitives;01/01/2019;01:45;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;02:00;4983;234;12181;48;0;853;0;111;-8443
Grand-Est;Donnees definitives;01/01/2019;02:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;02:30;4914;236;12218;58;0;849;0;113;-8560
Grand-Est;Donnees definitives;01/01/2019;02:45;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;03:00;4769;236;12099;57;0;839;-5;112;-8568
Grand-Est;Donnees definitives;01/01/2019;03:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;03:30;4658;236;11407;63;0;850;-5;114;-8008
Grand-Est;Donnees definitives;01/01/2019;03:45;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;04:00;4523;238;10984;85;0;856;-5;114;-7749
Grand-Est;Donnees definitives;01/01/2019;04:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;04:30;4436;238;10446;109;0;852;-179;113;-7142
Grand-Est;Donnees definitives;01/01/2019;04:45;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;05:00;4383;238;10394;137;0;850;-179;112;-7170
Grand-Est;Donnees definitives;01/01/2019;05:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;05:30;4395;237;10342;151;0;725;-354;110;-6816
Grand-Est;Donnees definitives;01/01/2019;05:45;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;06:00;4384;237;10295;188;0;703;-353;108;-6793
Grand-Est;Donnees definitives;01/01/2019;06:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;06:30;4429;236;10378;229;0;682;-352;112;-6856
Grand-Est;Donnees definitives;01/01/2019;06:45;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;07:00;4426;231;10382;256;0;681;-351;111;-6884
Grand-Est;Donnees definitives;01/01/2019;07:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;07:30;4449;233;10304;318;0;798;-351;107;-6960
Grand-Est;Donnees definitives;01/01/2019;07:45;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;08:00;4447;237;10295;352;0;812;-172;113;-7190
Grand-Est;Donnees definitives;01/01/2019;08:15;;;;;;;;;
Grand-Est;Donnees definitives;01/01/2019;08:30;4350;236;10363;369;0;820;-172;112;-7379
Grand-Est;Donnees definitives;01/01/2019;08:45;;;;;;;;;
