Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Grand-Est;Donnees consolidees;01/01/2021;00:00;5321;1087;9218;201;0;1000;0;124;85.19
Grand-Est;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;00:30;5485;1004;9220;405;0;1011;-6;131;85.21
Grand-Est;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;01:00;5332;783;9095;397;0;1027;-6;129;84.06
Grand-Est;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;01:30;5355;613;9141;385;0;1089;-6;130;84.48
Grand-Est;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;02:00;5390;602;8898;368;0;1064;-6;130;82.24
Grand-Est;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;02:30;5325;593;8846;333;0;798;-6;128;81.76
Grand-Est;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;03:00;5194;576;8763;316;0;803;-358;128;80.99
Grand-Est;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;03:30;5062;603;8899;320;0;807;-357;130;82.25
Grand-Est;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;04:00;4935;503;8808;312;0;688;-181;129;81.4
Grand-Est;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;04:30;4865;523;8905;302;0;674;-6;129;82.3
Grand-Est;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;05:00;4804;521;8912;302;0;676;-6;129;82.37
Grand-Est;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;05:30;4824;523;8906;304;0;685;0;129;82.31
Grand-Est;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;06:00;4850;524;8909;295;0;692;0;128;82.34
Grand-Est;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;06:30;4924;523;8907;287;0;682;0;128;82.32
Grand-Est;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;07:00;4938;525;8907;274;0;682;0;128;82.32
Grand-Est;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;07:30;4948;520;8912;278;0;667;0;129;82.37
Grand-Est;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;08:00;4977;521;8946;277;0;665;0;128;82.68
Grand-Est;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;08:30;4909;509;8909;273;0;671;-175;128;82.34
Grand-Est;Donnees consolidees;01/01/2021;08:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;09:00;4939;507;8908;270;2;668;-350;127;82.33
Grand-Est;Donnees consolidees;01/01/2021;09:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;09:30;4989;506;9004;264;10;769;-349;127;83.22
Grand-Est;Donnees consolidees;01/01/2021;09:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;10:00;5077;507;9016;257;23;774;-348;127;83.33
Grand-Est;Donnees consolidees;01/01/2021;10:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;10:30;5166;510;9032;254;38;789;-347;128;83.48
Grand-Est;Donnees consolidees;01/01/2021;10:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;11:00;5256;519;9059;251;55;798;-346;128;83.72
Grand-Est;Donnees consolidees;01/01/2021;11:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;11:30;5375;605;9090;250;51;804;-344;130;84.01
Grand-Est;Donnees consolidees;01/01/2021;11:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;12:00;5525;604;9059;253;58;767;-345;129;83.72
Grand-Est;Donnees consolidees;01/01/2021;12:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;12:30;5626;580;8995;250;67;762;-344;129;83.13
Grand-Est;Donnees consolidees;01/01/2021;12:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;13:00;5741;584;9002;252;69;762;-172;128;83.2
Grand-Est;Donnees consolidees;01/01/2021;13:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;13:30;5549;583;9017;255;69;770;-171;129;83.34
Grand-Est;Donnees consolidees;01/01/2021;13:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;14:00;5448;496;8991;253;57;767;-342;130;83.1
Grand-Est;Donnees consolidees;01/01/2021;14:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;14:30;5334;506;9012;253;64;768;-341;128;83.29
Grand-Est;Donnees consolidees;01/01/2021;14:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;15:00;5301;492;8972;253;54;763;-340;128;82.92
Grand-Est;Donnees consolidees;01/01/2021;15:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;15:30;5225;765;9018;251;35;779;-169;127;83.35
Grand-Est;Donnees consolidees;01/01/2021;15:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;16:00;5198;843;9012;252;21;779;-169;129;83.29
Grand-Est;Donnees consolidees;01/01/2021;16:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;16:30;5191;1188;9039;253;6;891;0;128;83.54
Grand-Est;Donnees consolidees;01/01/2021;16:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;17:00;5286;1457;9140;254;0;1082;0;122;84.47
Grand-Est;Donnees consolidees;01/01/2021;17:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;17:30;5556;1461;9121;259;0;1046;0;127;84.3
Grand-Est;Donnees consolidees;01/01/2021;17:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;18:00;5635;1462;9120;260;0;1051;0;123;84.29
Grand-Est;Donnees consolidees;01/01/2021;18:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;18:30;5739;1453;9208;267;0;1034;0;121;85.1
Grand-Est;Donnees consolidees;01/01/2021;18:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;19:00;5831;1518;9216;272;0;1004;0;120;85.18
Grand-Est;Donnees consolidees;01/01/2021;19:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;19:30;5859;1428;9215;277;0;1000;0;119;85.17
Grand-Est;Donnees consolidees;01/01/2021;19:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;20:00;5820;1457;9214;278;0;965;0;118;85.16
Grand-Est;Donnees consolidees;01/01/2021;20:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;20:30;5725;1462;9216;279;0;1016;0;119;85.18
Grand-Est;Donnees consolidees;01/01/2021;20:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;21:00;5676;1405;9219;278;0;969;0;121;85.2
Grand-Est;Donnees consolidees;01/01/2021;21:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;21:30;5613;1461;9215;281;0;1006;0;121;85.17
Grand-Est;Donnees consolidees;01/01/2021;21:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;22:00;5511;1360;9216;279;0;896;0;121;85.18
Grand-Est;Donnees consolidees;01/01/2021;22:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;22:30;5581;1310;9053;281;0;857;-6;123;83.67
Grand-Est;Donnees consolidees;01/01/2021;22:45;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;23:00;5583;1455;9018;286;0;897;-6;122;83.35
Grand-Est;Donnees consolidees;01/01/2021;23:15;;;;;;;;;
Grand-Est;Donnees consolidees;01/01/2021;23:30;5621;1346;9024;294;0;883;-6;125;83.4
Grand-Est;Donnees consolidees;01/01/2021;23:45;;;;;;;;;
Grand-Est;Donnees consolidees;02/01/2021;00:00;5562;1342;9017;302;0;777;-6;127;83.34
Grand-Est;Donnees consolidees;02/01/2021;00:15;;;;;;;;;
Grand-Est;Donnees consolidees;02/01/2021;00:30;5440;1266;9050;306;0;770;-6;127;83.64
Grand-Est;Donnees consolidees;02/01/2021;00:45;;;;;;;;;
Grand-Est;Donnees consolidees;02/01/2021;01:00;5294;556;8929;316;0;689;-178;127;82.52
Grand-Est;Donnees consolidees;02/01/2021;01:15;;;;;;;;;
Grand-Est;Donnees consolidees;02/01/2021;01:30;5323;505;8887;319;0;680;-350;129;82.13
