Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Grand-Est;Donnees temps reel;01/06/2022;00:00;4346;1139;3742;398;0;985;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;00:15;4202;1173;3737;352;0;766;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;00:30;4162;794;3186;317;0;768;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;00:45;4103;691;2965;308;0;789;-347;79;ND
Grand-Est;Donnees temps reel;01/06/2022;01:00;4021;700;2980;293;0;795;-345;79;ND
Grand-Est;Donnees temps reel;01/06/2022;01:15;3995;760;3046;269;0;799;-345;79;ND
Grand-Est;Donnees temps reel;01/06/2022;01:30;3988;757;3037;249;0;799;-346;79;ND
Grand-Est;Donnees temps reel;01/06/2022;01:45;4170;745;3039;256;0;778;-172;79;ND
Grand-Est;Donnees temps reel;01/06/2022;02:00;4040;751;3044;255;0;767;-172;79;ND
Grand-Est;Donnees temps reel;01/06/2022;02:15;4196;822;3124;253;0;763;-170;79;ND
Grand-Est;Donnees temps reel;01/06/2022;02:30;4184;895;3092;258;0;697;-173;79;ND
Grand-Est;Donnees temps reel;01/06/2022;02:45;4110;925;3070;247;0;552;-516;79;ND
Grand-Est;Donnees temps reel;01/06/2022;03:00;4055;896;3038;237;0;573;-516;79;ND
Grand-Est;Donnees temps reel;01/06/2022;03:15;4042;905;3043;219;0;594;-515;79;ND
Grand-Est;Donnees temps reel;01/06/2022;03:30;4022;921;3071;213;0;619;-512;79;ND
Grand-Est;Donnees temps reel;01/06/2022;03:45;4012;1030;3043;199;0;618;-511;79;ND
Grand-Est;Donnees temps reel;01/06/2022;04:00;4019;1146;3073;194;0;622;-508;79;ND
Grand-Est;Donnees temps reel;01/06/2022;04:15;4024;1261;3104;186;0;625;-506;79;ND
Grand-Est;Donnees temps reel;01/06/2022;04:30;4120;1293;3132;176;0;674;-504;79;ND
Grand-Est;Donnees temps reel;01/06/2022;04:45;3909;1268;3078;163;0;672;-506;79;ND
Grand-Est;Donnees temps reel;01/06/2022;05:00;3927;1246;3048;149;0;671;-503;79;ND
Grand-Est;Donnees temps reel;01/06/2022;05:15;4013;1247;3058;151;0;675;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;05:30;3976;1232;3546;148;0;679;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;05:45;4057;1244;3743;142;0;703;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;06:00;4151;1212;3774;137;8;796;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;06:15;4354;1232;3768;132;17;821;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;06:30;4377;1252;3778;130;28;1156;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;06:45;4506;1267;3781;134;41;1317;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;07:00;4666;1278;3768;131;58;1327;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;07:15;4700;1235;3774;127;84;1205;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;07:30;4670;1228;3770;122;111;1216;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;07:45;4757;1232;3681;117;145;1310;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;08:00;4707;1238;3675;116;177;1310;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;08:15;4779;1235;3676;111;225;1302;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;08:30;4852;1231;3677;111;267;1294;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;08:45;4790;1220;3718;113;310;1135;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;09:00;4965;1239;3752;114;350;1162;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;09:15;4820;1236;3752;115;382;1135;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;09:30;4896;1272;3746;115;436;1083;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;09:45;4866;1262;3745;116;464;1045;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;10:00;4884;1258;3749;122;488;1043;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;10:15;4840;1273;3739;129;506;896;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;10:30;5007;1257;3739;139;560;851;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;10:45;4983;1261;3739;147;585;743;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;11:00;5047;1262;3735;154;638;722;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;11:15;5064;1268;3731;154;607;744;-174;79;ND
Grand-Est;Donnees temps reel;01/06/2022;11:30;5125;1265;3737;161;649;748;-173;79;ND
Grand-Est;Donnees temps reel;01/06/2022;11:45;5192;1259;3734;172;638;757;-172;79;ND
Grand-Est;Donnees temps reel;01/06/2022;12:00;5237;1262;3730;184;667;755;-174;79;ND
Grand-Est;Donnees temps reel;01/06/2022;12:15;5071;1255;3738;202;672;768;-173;79;ND
Grand-Est;Donnees temps reel;01/06/2022;12:30;5233;1252;3728;213;682;799;-172;79;ND
Grand-Est;Donnees temps reel;01/06/2022;12:45;5183;1212;3734;230;636;776;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;13:00;5072;1190;3728;254;595;785;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;13:15;5146;1221;3726;255;628;783;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;13:30;5125;1113;3713;247;677;770;-1;79;ND
Grand-Est;Donnees temps reel;01/06/2022;13:45;5038;890;3715;276;613;632;-346;79;ND
Grand-Est;Donnees temps reel;01/06/2022;14:00;4950;883;3724;254;671;610;-348;79;ND
Grand-Est;Donnees temps reel;01/06/2022;14:15;4990;923;3716;261;643;575;-346;79;ND
Grand-Est;Donnees temps reel;01/06/2022;14:30;4874;875;3720;253;664;565;-346;79;ND
Grand-Est;Donnees temps reel;01/06/2022;14:45;4845;872;3722;247;650;582;-514;79;ND
Grand-Est;Donnees temps reel;01/06/2022;15:00;5025;876;3728;259;651;592;-513;79;ND
Grand-Est;Donnees temps reel;01/06/2022;15:15;4850;941;3718;242;544;602;-514;79;ND
Grand-Est;Donnees temps reel;01/06/2022;15:30;4786;902;3718;254;496;600;-510;79;ND
Grand-Est;Donnees temps reel;01/06/2022;15:45;4872;933;3714;263;510;622;-507;79;ND
Grand-Est;Donnees temps reel;01/06/2022;16:00;4752;922;3717;273;498;621;-509;79;ND
Grand-Est;Donnees temps reel;01/06/2022;16:15;4861;915;3713;274;524;635;-505;79;ND
Grand-Est;Donnees temps reel;01/06/2022;16:30;4769;1022;3717;278;519;653;-502;79;ND
Grand-Est;Donnees temps reel;01/06/2022;16:45;4987;1237;3712;278;525;665;-504;79;ND
Grand-Est;Donnees temps reel;01/06/2022;17:00;4930;1238;3709;272;473;658;-503;79;ND
Grand-Est;Donnees temps reel;01/06/2022;17:15;4916;1232;3721;297;405;746;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;17:30;4811;1232;3712;279;396;758;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;17:45;4744;1245;3719;305;354;762;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;18:00;4765;1248;3709;316;319;736;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;18:15;4744;1217;3714;342;278;1119;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;18:30;4922;1227;3713;368;289;1204;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;18:45;5015;1239;3710;349;249;1413;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;19:00;5092;1243;3713;355;211;1427;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;19:15;4868;1225;3712;348;144;1294;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;19:30;5038;1231;3708;335;144;1338;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;19:45;5065;1234;3719;350;110;1328;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;20:00;4939;1238;3715;354;75;1294;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;20:15;4767;1238;3721;357;56;1301;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;20:30;4789;1246;3719;371;40;1192;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;20:45;4778;1252;3716;376;26;1082;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;21:00;4533;1256;3725;403;13;1034;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;21:15;4609;1265;3716;447;11;1162;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;21:30;4516;1263;3718;519;10;1065;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;21:45;4671;1269;3720;635;8;1067;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;22:00;4457;1263;3721;773;6;973;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;22:15;4632;1252;3724;900;6;925;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;22:30;4571;1250;3722;1043;6;891;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;22:45;4362;1261;3723;1156;0;930;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;23:00;4370;1242;3725;1267;0;826;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;23:15;4561;1253;3583;1287;0;795;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;23:30;4562;1250;3548;1262;0;713;0;79;ND
Grand-Est;Donnees temps reel;01/06/2022;23:45;4300;1246;3534;1200;0;712;0;79;ND
Grand-Est;Donnees temps reel;02/06/2022;00:00;4344;1247;3506;1139;0;689;0;79;ND
Grand-Est;Donnees temps reel;02/06/2022;00:15;4362;1234;3600;1137;0;595;0;79;ND
Grand-Est;Donnees temps reel;02/06/2022;00:30;4189;1189;3553;1087;0;586;0;79;ND
Grand-Est;Donnees temps reel;02/06/2022;00:45;4140;819;3574;1060;0;592;0;79;ND
Grand-Est;Donnees temps reel;02/06/2022;01:00;4038;732;3616;1047;0;606;-527;79;ND
Grand-Est;Donnees temps reel;02/06/2022;01:15;4174;806;3742;1065;0;610;-527;79;ND
Grand-Est;Donnees temps reel;02/06/2022;01:30;4259;534;3678;1080;0;596;-527;79;ND
Grand-Est;Donnees temps reel;02/06/2022;01:45;4334;334;3671;1083;0;585;-527;79;ND
Grand-Est;Donnees temps reel;02/06/2022;02:00;4267;271;3669;1110;0;603;-524;79;ND
Grand-Est;Donnees temps reel;02/06/2022;02:15;4202;285;3714;1134;0;587;-522;79;ND
Grand-Est;Donnees temps reel;02/06/2022;02:30;4238;265;3646;1118;0;576;-524;79;ND
Grand-Est;Donnees temps reel;02/06/2022;02:45;4107;269;3654;1093;0;581;-522;79;ND
Grand-Est;Donnees temps reel;02/06/2022;03:00;4107;271;3669;1089;0;601;-519;79;ND
