Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Hauts-de-France;Donnees definitives;01/01/2020;00:00;6582;2030;4507;1575;0;2;0;119;-1651
Hauts-de-France;Donnees definitives;01/01/2020;00:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;00:30;6538;1936;4505;1547;0;2;0;116;-1569
Hauts-de-France;Donnees definitives;01/01/2020;00:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;01:00;6390;1859;4472;1360;0;2;0;115;-1418
Hauts-de-France;Donnees definitives;01/01/2020;01:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;01:30;6404;1537;4528;1188;0;2;0;115;-965
Hauts-de-France;Donnees definitives;01/01/2020;01:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;02:00;6257;1590;4548;1078;0;2;0;116;-1077
Hauts-de-France;Donnees definitives;01/01/2020;02:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;02:30;6114;1215;4539;1092;0;2;0;115;-849
Hauts-de-France;Donnees definitives;01/01/2020;02:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;03:00;5974;996;4530;1145;0;2;0;117;-817
Hauts-de-France;Donnees definitives;01/01/2020;03:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;03:30;5801;549;4563;1225;0;2;0;119;-658
Hauts-de-France;Donnees definitives;01/01/2020;03:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;04:00;5691;556;4529;1204;0;2;0;119;-720
Hauts-de-France;Donnees definitives;01/01/2020;04:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;04:30;5603;557;4564;1186;0;2;0;121;-827
Hauts-de-France;Donnees definitives;01/01/2020;04:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;05:00;5538;556;4542;1182;0;2;0;118;-863
Hauts-de-France;Donnees definitives;01/01/2020;05:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;05:30;5568;558;4561;1051;0;2;0;120;-725
Hauts-de-France;Donnees definitives;01/01/2020;05:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;06:00;5576;558;4566;962;0;2;0;119;-630
Hauts-de-France;Donnees definitives;01/01/2020;06:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;06:30;5635;557;4566;919;0;2;0;120;-529
Hauts-de-France;Donnees definitives;01/01/2020;06:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;07:00;5657;558;4569;867;0;2;0;121;-461
Hauts-de-France;Donnees definitives;01/01/2020;07:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;07:30;5691;560;4558;836;0;2;0;122;-387
Hauts-de-France;Donnees definitives;01/01/2020;07:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;08:00;5718;537;4540;799;0;2;0;120;-281
Hauts-de-France;Donnees definitives;01/01/2020;08:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;08:30;5744;554;4512;774;0;2;0;120;-218
Hauts-de-France;Donnees definitives;01/01/2020;08:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;09:00;5679;813;4506;687;0;2;0;120;-449
Hauts-de-France;Donnees definitives;01/01/2020;09:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;09:30;5730;850;4508;617;3;2;0;121;-371
Hauts-de-France;Donnees definitives;01/01/2020;09:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;10:00;5824;1042;4504;539;5;2;0;121;-389
Hauts-de-France;Donnees definitives;01/01/2020;10:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;10:30;5914;1022;4506;592;8;2;0;121;-337
Hauts-de-France;Donnees definitives;01/01/2020;10:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;11:00;6023;1034;4511;595;10;2;0;119;-249
Hauts-de-France;Donnees definitives;01/01/2020;11:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;11:30;6195;1036;4517;565;10;2;0;120;-54
Hauts-de-France;Donnees definitives;01/01/2020;11:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;12:00;6313;1051;4528;533;10;2;0;120;69
Hauts-de-France;Donnees definitives;01/01/2020;12:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;12:30;6498;1057;4536;513;10;2;0;121;259
Hauts-de-France;Donnees definitives;01/01/2020;12:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;13:00;6642;1091;4562;445;10;2;0;118;413
Hauts-de-France;Donnees definitives;01/01/2020;13:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;13:30;6566;1076;4545;387;11;2;0;117;427
Hauts-de-France;Donnees definitives;01/01/2020;13:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;14:00;6419;1064;4534;331;10;2;0;115;363
Hauts-de-France;Donnees definitives;01/01/2020;14:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;14:30;6317;1131;4548;303;10;2;0;115;209
Hauts-de-France;Donnees definitives;01/01/2020;14:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;15:00;6183;1099;4521;271;8;2;0;116;166
Hauts-de-France;Donnees definitives;01/01/2020;15:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;15:30;6098;1140;4567;299;5;2;0;119;-35
Hauts-de-France;Donnees definitives;01/01/2020;15:45;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;16:00;6043;880;4532;330;2;2;0;118;178
Hauts-de-France;Donnees definitives;01/01/2020;16:15;;;;;;;;;
Hauts-de-France;Donnees definitives;01/01/2020;16:30;6018;1009;4606;363;0;2;0;119;-81
Hauts-de-France;Donnees definitives;01/01/2020;16:45;;;;;;;;;
