Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Hauts-de-France;Donnees consolidees;01/01/2021;00:00;6340;1146;4606;392;0;1;0;120;84.36
Hauts-de-France;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;00:30;6566;1370;4608;603;0;2;0;122;84.4
Hauts-de-France;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;01:00;6393;984;4605;605;0;2;0;123;84.34
Hauts-de-France;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;01:30;6403;1104;4604;593;0;2;0;123;84.32
Hauts-de-France;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;02:00;6284;1104;4605;577;0;2;0;124;84.34
Hauts-de-France;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;02:30;6133;1045;4603;556;0;2;0;123;84.3
Hauts-de-France;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;03:00;5987;977;4604;549;0;2;0;122;84.32
Hauts-de-France;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;03:30;5797;925;4605;547;0;2;0;123;84.34
Hauts-de-France;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;04:00;5680;1033;4605;541;0;2;0;123;84.34
Hauts-de-France;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;04:30;5629;965;4604;523;0;2;0;122;84.32
Hauts-de-France;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;05:00;5598;847;4603;483;0;2;0;122;84.3
Hauts-de-France;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;05:30;5650;824;4601;459;0;2;0;120;84.27
Hauts-de-France;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;06:00;5688;1034;4598;442;0;2;0;120;84.21
Hauts-de-France;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;06:30;5771;1012;4596;427;0;2;0;119;84.18
Hauts-de-France;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Hauts-de-France;Donnees consolidees;01/01/2021;07:00;5793;838;4597;425;0;2;0;119;84.19
