Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Hauts-de-France;Donnees temps reel;01/06/2022;00:00;4664;1049;3598;627;0;1;-;131;ND
Hauts-de-France;Donnees temps reel;01/06/2022;00:15;4386;1067;3605;654;0;1;-;130;ND
Hauts-de-France;Donnees temps reel;01/06/2022;00:30;4245;1045;3601;698;0;1;-;130;ND
Hauts-de-France;Donnees temps reel;01/06/2022;00:45;4214;1040;3602;693;0;1;-;130;ND
Hauts-de-France;Donnees temps reel;01/06/2022;01:00;4079;1042;3603;687;0;1;-;131;ND
Hauts-de-France;Donnees temps reel;01/06/2022;01:15;4113;1117;3598;684;0;1;-;132;ND
Hauts-de-France;Donnees temps reel;01/06/2022;01:30;4127;1120;3599;685;0;1;-;132;ND
Hauts-de-France;Donnees temps reel;01/06/2022;01:45;3962;1133;3605;678;0;1;-;133;ND
Hauts-de-France;Donnees temps reel;01/06/2022;02:00;4030;989;3599;664;0;1;-;133;ND
Hauts-de-France;Donnees temps reel;01/06/2022;02:15;4047;1060;3601;679;0;1;-;133;ND
Hauts-de-France;Donnees temps reel;01/06/2022;02:30;4061;1031;3604;707;0;1;-;134;ND
Hauts-de-France;Donnees temps reel;01/06/2022;02:45;3938;1011;3602;733;0;1;-;134;ND
Hauts-de-France;Donnees temps reel;01/06/2022;03:00;3874;971;3603;759;0;1;-;134;ND
Hauts-de-France;Donnees temps reel;01/06/2022;03:15;3738;1146;3602;757;0;1;-;133;ND
Hauts-de-France;Donnees temps reel;01/06/2022;03:30;3790;1166;3600;750;0;1;-;131;ND
Hauts-de-France;Donnees temps reel;01/06/2022;03:45;3684;933;3600;720;0;1;-;130;ND
Hauts-de-France;Donnees temps reel;01/06/2022;04:00;3687;965;3602;693;0;1;-;129;ND
Hauts-de-France;Donnees temps reel;01/06/2022;04:15;3698;996;3604;673;0;1;-;129;ND
Hauts-de-France;Donnees temps reel;01/06/2022;04:30;3721;1008;3599;660;0;1;-;129;ND
Hauts-de-France;Donnees temps reel;01/06/2022;04:45;3640;1174;3598;630;0;1;-;130;ND
Hauts-de-France;Donnees temps reel;01/06/2022;05:00;3796;1150;3601;567;0;1;-;129;ND
Hauts-de-France;Donnees temps reel;01/06/2022;05:15;3694;1145;3597;512;0;1;-;120;ND
Hauts-de-France;Donnees temps reel;01/06/2022;05:30;3822;1121;3597;461;0;1;-;121;ND
Hauts-de-France;Donnees temps reel;01/06/2022;05:45;3770;1138;3599;443;0;1;-;122;ND
Hauts-de-France;Donnees temps reel;01/06/2022;06:00;3860;1115;3599;431;4;1;-;122;ND
Hauts-de-France;Donnees temps reel;01/06/2022;06:15;4044;1134;3597;439;8;1;-;120;ND
Hauts-de-France;Donnees temps reel;01/06/2022;06:30;4016;1157;3596;451;13;1;-;122;ND
Hauts-de-France;Donnees temps reel;01/06/2022;06:45;4230;1175;3591;448;18;1;-;122;ND
Hauts-de-France;Donnees temps reel;01/06/2022;07:00;4351;1197;3596;459;24;1;-;122;ND
Hauts-de-France;Donnees temps reel;01/06/2022;07:15;4498;1134;3593;452;33;1;-;122;ND
