Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Ile-de-France;Donnees definitives;01/01/2019;00:00;9035;436;-;1;0;9;-;154;8434
Ile-de-France;Donnees definitives;01/01/2019;00:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;00:30;8875;429;-;1;0;8;-;154;8283
Ile-de-France;Donnees definitives;01/01/2019;00:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;01:00;8506;429;-;1;0;8;-;152;7916
Ile-de-France;Donnees definitives;01/01/2019;01:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;01:30;8186;429;-;2;0;9;-;153;7594
Ile-de-France;Donnees definitives;01/01/2019;01:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;02:00;7992;429;-;2;0;9;-;151;7401
Ile-de-France;Donnees definitives;01/01/2019;02:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;02:30;7934;411;-;2;0;9;-;152;7360
Ile-de-France;Donnees definitives;01/01/2019;02:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;03:00;7689;412;-;2;0;9;-;154;7111
Ile-de-France;Donnees definitives;01/01/2019;03:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;03:30;7496;412;-;5;0;9;-;154;6915
Ile-de-France;Donnees definitives;01/01/2019;03:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;04:00;7338;412;-;6;0;9;-;153;6757
Ile-de-France;Donnees definitives;01/01/2019;04:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;04:30;7284;412;-;5;0;9;-;155;6703
Ile-de-France;Donnees definitives;01/01/2019;04:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;05:00;7240;411;-;5;0;9;-;152;6662
Ile-de-France;Donnees definitives;01/01/2019;05:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;05:30;7346;411;-;3;0;9;-;151;6772
Ile-de-France;Donnees definitives;01/01/2019;05:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;06:00;7327;412;-;1;0;9;-;149;6756
Ile-de-France;Donnees definitives;01/01/2019;06:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;06:30;7391;411;-;3;0;9;-;149;6819
Ile-de-France;Donnees definitives;01/01/2019;06:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;07:00;7368;411;-;2;0;9;-;149;6796
Ile-de-France;Donnees definitives;01/01/2019;07:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;07:30;7504;411;-;2;0;9;-;148;6932
Ile-de-France;Donnees definitives;01/01/2019;07:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;08:00;7544;411;-;4;0;9;-;148;6972
Ile-de-France;Donnees definitives;01/01/2019;08:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;08:30;7571;411;-;3;0;9;-;150;6998
Ile-de-France;Donnees definitives;01/01/2019;08:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;09:00;7546;411;-;5;0;9;-;151;6970
Ile-de-France;Donnees definitives;01/01/2019;09:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;09:30;7689;411;-;4;0;9;-;155;7109
Ile-de-France;Donnees definitives;01/01/2019;09:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;10:00;7867;408;-;3;0;9;-;155;7292
Ile-de-France;Donnees definitives;01/01/2019;10:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;10:30;8052;405;-;2;2;9;-;154;7480
Ile-de-France;Donnees definitives;01/01/2019;10:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;11:00;8259;411;-;2;2;9;-;156;7679
Ile-de-France;Donnees definitives;01/01/2019;11:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;11:30;8499;411;-;1;4;9;-;153;7920
Ile-de-France;Donnees definitives;01/01/2019;11:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;12:00;8765;410;-;2;4;9;-;152;8187
Ile-de-France;Donnees definitives;01/01/2019;12:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;12:30;8992;411;-;3;4;9;-;154;8412
Ile-de-France;Donnees definitives;01/01/2019;12:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;13:00;9113;411;-;3;4;9;-;153;8533
Ile-de-France;Donnees definitives;01/01/2019;13:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;13:30;9136;411;-;2;5;9;-;152;8557
Ile-de-France;Donnees definitives;01/01/2019;13:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;14:00;9075;411;-;3;5;9;-;149;8498
Ile-de-France;Donnees definitives;01/01/2019;14:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;14:30;9122;411;-;3;6;9;-;153;8539
Ile-de-France;Donnees definitives;01/01/2019;14:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;15:00;8953;411;-;3;6;9;-;152;8372
Ile-de-France;Donnees definitives;01/01/2019;15:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;15:30;8877;411;-;6;5;9;-;151;8295
Ile-de-France;Donnees definitives;01/01/2019;15:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;16:00;8818;412;-;4;3;9;-;152;8239
Ile-de-France;Donnees definitives;01/01/2019;16:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;16:30;8894;411;-;4;0;9;-;153;8317
Ile-de-France;Donnees definitives;01/01/2019;16:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;17:00;8962;411;-;2;0;9;-;153;8387
Ile-de-France;Donnees definitives;01/01/2019;17:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;17:30;9271;411;-;3;0;9;-;153;8695
Ile-de-France;Donnees definitives;01/01/2019;17:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;18:00;9524;411;-;5;0;9;-;152;8949
Ile-de-France;Donnees definitives;01/01/2019;18:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;18:30;9597;412;-;7;0;9;-;150;9021
Ile-de-France;Donnees definitives;01/01/2019;18:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;19:00;9784;411;-;7;0;9;-;150;9207
Ile-de-France;Donnees definitives;01/01/2019;19:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;19:30;9827;411;-;5;0;9;-;152;9250
Ile-de-France;Donnees definitives;01/01/2019;19:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;20:00;9788;411;-;5;0;9;-;150;9213
Ile-de-France;Donnees definitives;01/01/2019;20:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;20:30;9598;412;-;4;0;9;-;152;9022
Ile-de-France;Donnees definitives;01/01/2019;20:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;21:00;9412;410;-;5;0;9;-;150;8838
Ile-de-France;Donnees definitives;01/01/2019;21:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;21:30;9134;409;-;6;0;9;-;150;8561
Ile-de-France;Donnees definitives;01/01/2019;21:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;22:00;8875;409;-;7;0;9;-;148;8302
Ile-de-France;Donnees definitives;01/01/2019;22:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;22:30;8981;409;-;8;0;9;-;150;8404
Ile-de-France;Donnees definitives;01/01/2019;22:45;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;23:00;9460;410;-;7;0;9;-;148;8886
Ile-de-France;Donnees definitives;01/01/2019;23:15;;;;;;;;;
Ile-de-France;Donnees definitives;01/01/2019;23:30;9124;411;-;8;0;9;-;150;8547
Ile-de-France;Donnees definitives;01/01/2019;23:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;00:00;8912;411;-;7;0;9;-;152;8333
Ile-de-France;Donnees definitives;02/01/2019;00:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;00:30;8733;411;-;9;0;9;-;150;8154
Ile-de-France;Donnees definitives;02/01/2019;00:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;01:00;8297;412;-;14;0;9;-;149;7713
Ile-de-France;Donnees definitives;02/01/2019;01:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;01:30;7937;412;-;17;0;9;-;149;7350
Ile-de-France;Donnees definitives;02/01/2019;01:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;02:00;7677;412;-;30;0;8;-;149;7077
Ile-de-France;Donnees definitives;02/01/2019;02:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;02:30;7718;412;-;18;0;8;-;149;7131
Ile-de-France;Donnees definitives;02/01/2019;02:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;03:00;7508;412;-;24;0;7;-;148;6917
Ile-de-France;Donnees definitives;02/01/2019;03:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;03:30;7454;413;-;18;0;8;-;149;6867
Ile-de-France;Donnees definitives;02/01/2019;03:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;04:00;7395;413;-;17;0;8;-;147;6811
Ile-de-France;Donnees definitives;02/01/2019;04:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;04:30;7472;413;-;15;0;8;-;147;6889
Ile-de-France;Donnees definitives;02/01/2019;04:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;05:00;7548;413;-;18;0;9;-;147;6962
Ile-de-France;Donnees definitives;02/01/2019;05:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;05:30;7875;413;-;21;0;9;-;147;7285
Ile-de-France;Donnees definitives;02/01/2019;05:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;06:00;8134;413;-;19;0;9;-;145;7548
Ile-de-France;Donnees definitives;02/01/2019;06:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;06:30;8650;413;-;17;0;9;-;149;8062
Ile-de-France;Donnees definitives;02/01/2019;06:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;07:00;9020;420;-;17;0;9;-;149;8425
Ile-de-France;Donnees definitives;02/01/2019;07:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;07:30;9555;432;-;18;0;8;-;149;8947
Ile-de-France;Donnees definitives;02/01/2019;07:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;08:00;10010;431;-;14;0;8;-;146;9411
Ile-de-France;Donnees definitives;02/01/2019;08:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;08:30;10360;429;-;8;0;8;-;149;9765
Ile-de-France;Donnees definitives;02/01/2019;08:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;09:00;10493;425;-;6;0;7;-;143;9912
Ile-de-France;Donnees definitives;02/01/2019;09:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;09:30;10660;413;-;7;1;8;-;144;10087
Ile-de-France;Donnees definitives;02/01/2019;09:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;10:00;10799;413;-;8;5;8;-;142;10224
Ile-de-France;Donnees definitives;02/01/2019;10:15;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;10:30;10906;414;-;7;9;8;-;142;10325
Ile-de-France;Donnees definitives;02/01/2019;10:45;;;;;;;;;
Ile-de-France;Donnees definitives;02/01/2019;11:00;11015;414;-;5;12;9;-;144;10432
