Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Ile-de-France;Donnees consolidees;01/01/2021;00:00;9914;418;-;5;0;3;-;119;-
Ile-de-France;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;00:30;9838;419;-;2;0;3;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;01:00;9537;420;-;1;0;3;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;01:30;9201;420;-;1;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;02:00;8970;420;-;2;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;02:30;8906;420;-;1;0;3;-;144;-
Ile-de-France;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;03:00;8671;420;-;0;0;3;-;143;-
Ile-de-France;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;03:30;8489;419;-;0;0;3;-;140;-
Ile-de-France;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;04:00;8345;419;-;0;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;04:30;8298;420;-;0;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;05:00;8269;420;-;0;0;3;-;136;-
Ile-de-France;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;05:30;8410;420;-;1;0;3;-;134;-
Ile-de-France;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;06:00;8424;420;-;0;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;06:30;8543;417;-;0;0;3;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;07:00;8530;424;-;0;0;3;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;07:30;8666;427;-;1;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;08:00;8714;427;-;2;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;08:30;8794;429;-;1;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;08:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;09:00;8806;429;-;0;0;3;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;09:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;09:30;8976;425;-;0;1;4;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;09:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;10:00;9110;425;-;0;3;4;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;10:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;10:30;9264;427;-;1;8;4;-;134;-
Ile-de-France;Donnees consolidees;01/01/2021;10:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;11:00;9414;428;-;1;11;4;-;134;-
Ile-de-France;Donnees consolidees;01/01/2021;11:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;11:30;9589;428;-;1;15;4;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;11:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;12:00;9763;428;-;1;18;4;-;136;-
Ile-de-France;Donnees consolidees;01/01/2021;12:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;12:30;9888;428;-;1;19;4;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;12:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;13:00;9946;428;-;0;22;4;-;136;-
Ile-de-France;Donnees consolidees;01/01/2021;13:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;13:30;9815;428;-;0;20;4;-;136;-
Ile-de-France;Donnees consolidees;01/01/2021;13:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;14:00;9688;427;-;0;17;4;-;136;-
Ile-de-France;Donnees consolidees;01/01/2021;14:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;14:30;9671;422;-;0;15;4;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;14:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;15:00;9538;409;-;0;14;4;-;136;-
Ile-de-France;Donnees consolidees;01/01/2021;15:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;15:30;9461;414;-;0;9;4;-;135;-
Ile-de-France;Donnees consolidees;01/01/2021;15:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;16:00;9443;414;-;0;6;4;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;16:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;16:30;9466;412;-;0;3;4;-;139;-
Ile-de-France;Donnees consolidees;01/01/2021;16:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;17:00;9558;416;-;0;0;4;-;138;-
Ile-de-France;Donnees consolidees;01/01/2021;17:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;17:30;9965;418;-;0;0;4;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;17:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;18:00;10211;420;-;0;0;4;-;137;-
Ile-de-France;Donnees consolidees;01/01/2021;18:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;18:30;10347;420;-;0;0;4;-;135;-
Ile-de-France;Donnees consolidees;01/01/2021;18:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;19:00;10542;420;-;0;0;4;-;134;-
Ile-de-France;Donnees consolidees;01/01/2021;19:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;19:30;10683;428;-;0;0;4;-;132;-
Ile-de-France;Donnees consolidees;01/01/2021;19:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;20:00;10754;429;-;0;0;4;-;129;-
Ile-de-France;Donnees consolidees;01/01/2021;20:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;20:30;10557;427;-;1;0;4;-;130;-
Ile-de-France;Donnees consolidees;01/01/2021;20:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;21:00;10363;428;-;1;0;4;-;129;-
Ile-de-France;Donnees consolidees;01/01/2021;21:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;21:30;10099;429;-;3;0;4;-;129;-
Ile-de-France;Donnees consolidees;01/01/2021;21:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;22:00;9874;414;-;3;0;4;-;130;-
Ile-de-France;Donnees consolidees;01/01/2021;22:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;22:30;9949;414;-;5;0;4;-;130;-
Ile-de-France;Donnees consolidees;01/01/2021;22:45;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;23:00;10438;412;-;5;0;4;-;130;-
Ile-de-France;Donnees consolidees;01/01/2021;23:15;;;;;;;;;
Ile-de-France;Donnees consolidees;01/01/2021;23:30;10182;414;-;4;0;4;-;132;-
Ile-de-France;Donnees consolidees;01/01/2021;23:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;00:00;9983;418;-;3;0;4;-;133;-
Ile-de-France;Donnees consolidees;02/01/2021;00:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;00:30;9800;420;-;2;0;4;-;133;-
Ile-de-France;Donnees consolidees;02/01/2021;00:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;01:00;9403;426;-;3;0;4;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;01:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;01:30;9045;430;-;4;0;4;-;138;-
Ile-de-France;Donnees consolidees;02/01/2021;01:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;02:00;8878;430;-;5;0;4;-;137;-
Ile-de-France;Donnees consolidees;02/01/2021;02:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;02:30;8832;431;-;6;0;4;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;02:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;03:00;8664;431;-;6;0;4;-;138;-
Ile-de-France;Donnees consolidees;02/01/2021;03:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;03:30;8563;431;-;8;0;4;-;137;-
Ile-de-France;Donnees consolidees;02/01/2021;03:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;04:00;8497;431;-;8;0;4;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;04:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;04:30;8496;432;-;8;0;4;-;140;-
Ile-de-France;Donnees consolidees;02/01/2021;04:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;05:00;8532;432;-;6;0;4;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;05:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;05:30;8709;432;-;4;0;4;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;05:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;06:00;8810;432;-;3;0;4;-;137;-
Ile-de-France;Donnees consolidees;02/01/2021;06:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;06:30;8895;431;-;5;0;4;-;133;-
Ile-de-France;Donnees consolidees;02/01/2021;06:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;07:00;8999;432;-;3;0;4;-;134;-
Ile-de-France;Donnees consolidees;02/01/2021;07:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;07:30;9245;432;-;4;0;4;-;133;-
Ile-de-France;Donnees consolidees;02/01/2021;07:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;08:00;9440;432;-;3;0;4;-;133;-
Ile-de-France;Donnees consolidees;02/01/2021;08:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;08:30;9692;432;-;1;0;4;-;133;-
Ile-de-France;Donnees consolidees;02/01/2021;08:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;09:00;9824;432;-;1;0;4;-;134;-
Ile-de-France;Donnees consolidees;02/01/2021;09:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;09:30;10117;425;-;2;3;4;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;09:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;10:00;10372;431;-;3;8;5;-;134;-
Ile-de-France;Donnees consolidees;02/01/2021;10:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;10:30;10550;432;-;4;14;4;-;131;-
Ile-de-France;Donnees consolidees;02/01/2021;10:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;11:00;10643;431;-;5;19;5;-;131;-
Ile-de-France;Donnees consolidees;02/01/2021;11:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;11:30;10761;431;-;3;23;5;-;134;-
Ile-de-France;Donnees consolidees;02/01/2021;11:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;12:00;10876;430;-;3;24;5;-;138;-
Ile-de-France;Donnees consolidees;02/01/2021;12:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;12:30;10971;430;-;1;25;5;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;12:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;13:00;10999;431;-;0;26;5;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;13:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;13:30;10803;431;-;1;27;5;-;138;-
Ile-de-France;Donnees consolidees;02/01/2021;13:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;14:00;10654;431;-;0;28;5;-;136;-
Ile-de-France;Donnees consolidees;02/01/2021;14:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;14:30;10589;430;-;1;25;5;-;140;-
Ile-de-France;Donnees consolidees;02/01/2021;14:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;15:00;10387;430;-;2;18;5;-;138;-
Ile-de-France;Donnees consolidees;02/01/2021;15:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;15:30;10257;429;-;1;15;5;-;140;-
Ile-de-France;Donnees consolidees;02/01/2021;15:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;16:00;10221;429;-;2;8;6;-;140;-
Ile-de-France;Donnees consolidees;02/01/2021;16:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;16:30;10251;430;-;2;2;5;-;141;-
Ile-de-France;Donnees consolidees;02/01/2021;16:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;17:00;10352;430;-;2;0;5;-;140;-
Ile-de-France;Donnees consolidees;02/01/2021;17:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;17:30;10725;430;-;2;0;5;-;139;-
Ile-de-France;Donnees consolidees;02/01/2021;17:45;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;18:00;10911;430;-;2;0;5;-;140;-
Ile-de-France;Donnees consolidees;02/01/2021;18:15;;;;;;;;;
Ile-de-France;Donnees consolidees;02/01/2021;18:30;11093;428;-;1;0;5;-;137;-
Ile-de-France;Donnees consolidees;02/01/2021;18:45;;;;;;;;;
