Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Normandie;Donnees definitives;01/01/2018;00:00;3687;343;7128;620;0;21;-;51;-4476
Normandie;Donnees definitives;01/01/2018;00:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;00:30;3607;340;6252;611;0;20;-;47;-3662
Normandie;Donnees definitives;01/01/2018;00:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;01:00;3493;340;5984;607;0;19;-;47;-3504
Normandie;Donnees definitives;01/01/2018;01:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;01:30;3532;339;5987;622;0;19;-;46;-3481
Normandie;Donnees definitives;01/01/2018;01:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;02:00;3526;339;5959;609;0;19;-;45;-3446
Normandie;Donnees definitives;01/01/2018;02:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;02:30;3400;339;5964;598;0;19;-;42;-3562
Normandie;Donnees definitives;01/01/2018;02:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;03:00;3286;338;5910;593;0;19;-;42;-3615
Normandie;Donnees definitives;01/01/2018;03:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;03:30;3198;338;5969;575;0;19;-;40;-3744
Normandie;Donnees definitives;01/01/2018;03:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;04:00;3136;338;5947;582;0;19;-;41;-3789
Normandie;Donnees definitives;01/01/2018;04:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;04:30;3095;336;5994;546;0;19;-;39;-3839
Normandie;Donnees definitives;01/01/2018;04:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;05:00;3058;338;5976;554;0;19;-;37;-3867
Normandie;Donnees definitives;01/01/2018;05:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;05:30;3098;337;6008;567;0;19;-;37;-3870
Normandie;Donnees definitives;01/01/2018;05:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;06:00;3079;336;6003;542;0;19;-;39;-3859
Normandie;Donnees definitives;01/01/2018;06:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;06:30;3125;334;6020;530;0;19;-;37;-3816
Normandie;Donnees definitives;01/01/2018;06:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;07:00;3125;335;6011;505;0;19;-;36;-3780
Normandie;Donnees definitives;01/01/2018;07:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;07:30;3127;334;6239;500;0;19;-;39;-4003
Normandie;Donnees definitives;01/01/2018;07:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;08:00;3138;334;6262;465;0;20;-;39;-3981
Normandie;Donnees definitives;01/01/2018;08:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;08:30;3151;335;6308;465;0;20;-;40;-4016
Normandie;Donnees definitives;01/01/2018;08:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;09:00;3115;334;6281;491;0;19;-;39;-4050
Normandie;Donnees definitives;01/01/2018;09:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;09:30;3135;336;6251;537;0;19;-;39;-4047
Normandie;Donnees definitives;01/01/2018;09:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;10:00;3186;335;6296;496;0;20;-;38;-3999
Normandie;Donnees definitives;01/01/2018;10:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;10:30;3220;334;6320;442;1;19;-;39;-3936
Normandie;Donnees definitives;01/01/2018;10:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;11:00;3277;337;6344;492;3;19;-;38;-3957
Normandie;Donnees definitives;01/01/2018;11:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;11:30;3324;336;6350;530;7;20;-;39;-3957
Normandie;Donnees definitives;01/01/2018;11:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;12:00;3356;339;6388;540;9;19;-;38;-3977
Normandie;Donnees definitives;01/01/2018;12:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;12:30;3437;338;6337;537;9;19;-;40;-3843
Normandie;Donnees definitives;01/01/2018;12:45;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;13:00;3496;336;6413;505;8;20;-;39;-3825
Normandie;Donnees definitives;01/01/2018;13:15;;;;;;;;;
Normandie;Donnees definitives;01/01/2018;13:30;3416;337;6407;454;10;19;-;39;-3852
