Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Normandie;Donnees consolidees;01/01/2021;00:00;4326;307;7751;32;0;14;-;49;72.85
Normandie;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;00:30;4288;324;7755;64;0;16;-;60;72.89
Normandie;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;01:00;4185;324;7753;62;0;16;-;59;72.87
Normandie;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;01:30;4193;324;7013;61;0;16;-;61;65.91
Normandie;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;02:00;4179;323;6444;60;0;16;-;61;60.56
Normandie;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;02:30;4053;323;6258;64;0;16;-;60;58.82
Normandie;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;03:00;3959;324;6221;65;0;16;-;58;58.47
Normandie;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;03:30;3870;324;6289;64;0;16;-;60;59.11
Normandie;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;04:00;3796;323;6234;64;0;16;-;59;58.59
Normandie;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;04:30;3772;323;6287;63;0;16;-;61;59.09
Normandie;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;05:00;3736;322;6285;63;0;16;-;61;59.07
Normandie;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Normandie;Donnees consolidees;01/01/2021;05:30;3775;320;6287;60;0;16;-;58;59.09
