Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Normandie;Donnees temps reel;01/06/2022;00:00;2767;236;3669;59;0;13;-;33;ND
Normandie;Donnees temps reel;01/06/2022;00:15;2731;234;3728;63;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;00:30;2626;234;3686;65;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;00:45;2538;233;3709;69;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;01:00;2522;237;3724;71;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;01:15;2564;236;3792;78;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;01:30;2550;237;3778;79;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;01:45;2555;235;3776;92;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;02:00;2481;238;3789;94;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;02:15;2444;234;3873;93;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;02:30;2409;237;3830;89;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;02:45;2393;234;3805;88;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;03:00;2347;233;3778;82;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;03:15;2342;234;3781;80;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;03:30;2325;233;3813;82;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;03:45;2325;234;3766;88;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;04:00;2312;234;3795;92;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;04:15;2292;234;3824;91;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;04:30;2284;235;3854;84;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;04:45;2297;235;3807;83;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;05:00;2318;234;3777;78;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;05:15;2382;236;3781;78;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;05:30;2397;233;3758;80;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;05:45;2402;238;3784;82;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;06:00;2424;235;3726;83;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;06:15;2498;235;3789;79;3;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;06:30;2519;237;3794;82;5;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;06:45;2585;236;3819;79;8;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;07:00;2663;236;3823;78;11;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;07:15;2718;233;3769;76;17;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;07:30;2767;231;3767;72;24;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;07:45;2777;235;3783;70;30;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;08:00;2805;233;3775;60;35;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;08:15;2834;234;3770;51;48;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;08:30;2866;236;3764;46;60;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;08:45;2906;235;3780;42;70;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;09:00;2881;239;3788;41;81;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;09:15;2929;240;3780;41;92;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;09:30;2888;241;3743;40;103;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;09:45;2907;239;3721;41;113;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;10:00;2896;241;3727;40;123;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;10:15;2925;242;3772;40;135;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;10:30;2927;241;3722;40;144;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;10:45;2929;245;3737;43;150;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;11:00;2938;243;3737;45;159;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;11:15;2928;243;3777;48;162;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;11:30;2971;241;3760;51;170;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;11:45;2930;245;3767;54;173;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;12:00;3005;241;3771;54;179;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;12:15;3044;242;3769;54;172;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;12:30;3005;242;3762;52;168;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;12:45;3064;242;3755;53;178;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;13:00;2986;242;3737;50;181;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;13:15;2941;238;3783;56;168;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;13:30;2893;244;3768;60;167;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;13:45;2879;241;3777;70;168;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;14:00;2848;242;3766;67;168;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;14:15;2857;242;3833;67;184;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;14:30;2787;240;3762;68;183;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;14:45;2774;239;3771;76;181;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;15:00;2739;238;3769;79;182;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;15:15;2726;236;3846;82;174;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;15:30;2717;238;3796;92;176;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;15:45;2690;242;3836;93;163;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;16:00;2689;244;3815;93;162;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;16:15;2649;235;3809;88;169;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;16:30;2626;240;3851;87;164;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;16:45;2571;240;3852;87;152;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;17:00;2579;237;3829;90;152;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;17:15;2565;243;3770;82;140;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;17:30;2561;233;3786;75;139;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;17:45;2571;237;3852;72;127;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;18:00;2609;238;3806;74;119;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;18:15;2614;237;3753;80;107;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;18:30;2659;236;3777;87;97;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;18:45;2674;239;3835;89;85;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;19:00;2724;234;3837;92;71;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;19:15;2719;235;3776;83;61;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;19:30;2708;236;3793;79;52;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;19:45;2699;237;3793;78;42;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;20:00;2671;234;3765;80;32;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;20:15;2630;238;3782;83;25;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;20:30;2599;237;3788;88;20;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;20:45;2545;237;3791;94;14;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;21:00;2585;235;3788;92;9;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;21:15;2676;235;3861;90;6;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;21:30;2646;237;3811;92;4;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;21:45;2614;235;3797;86;2;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;22:00;2688;237;3764;88;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;22:15;2791;236;3770;88;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;22:30;2873;235;3752;94;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;22:45;2963;236;3758;101;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;23:00;2886;237;3734;105;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;23:15;2841;236;3759;114;0;13;-;35;ND
Normandie;Donnees temps reel;01/06/2022;23:30;2812;239;3699;116;0;13;-;34;ND
Normandie;Donnees temps reel;01/06/2022;23:45;2827;236;3697;125;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;00:00;2749;236;3667;122;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;00:15;2711;232;3750;117;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;00:30;2601;235;3706;119;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;00:45;2503;238;3718;121;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;01:00;2488;234;3780;118;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;01:15;2513;235;3866;116;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;01:30;2514;233;3811;123;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;01:45;2502;234;3802;123;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;02:00;2424;239;3804;138;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;02:15;2420;239;3861;143;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;02:30;2382;237;3794;156;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;02:45;2347;235;3792;161;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;03:00;2313;237;3812;177;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;03:15;2283;236;3864;169;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;03:30;2258;233;3806;173;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;03:45;2235;235;3787;188;0;13;-;35;ND
Normandie;Donnees temps reel;02/06/2022;04:00;2238;234;3760;196;0;13;-;35;ND
