Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;00:00;5545;151;4737;557;0;747;-;175;-821
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;00:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;00:30;5600;144;4172;522;0;779;-;183;-199
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;00:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;01:00;5424;144;3502;522;0;716;-;180;361
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;01:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;01:30;5578;144;3065;507;0;718;-;177;969
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;01:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;02:00;5340;144;3031;481;0;712;-;178;795
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;02:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;02:30;5396;144;3033;513;0;641;-;178;887
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;02:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;03:00;5136;143;2996;510;0;634;-;177;676
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;03:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;03:30;4997;144;3141;492;0;664;-;176;380
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;03:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;04:00;4816;144;3102;489;0;661;-;182;238
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;04:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;04:30;4748;144;3177;466;0;513;-;183;267
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;04:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;05:00;4691;144;3151;478;0;513;-;178;229
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;05:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;05:30;4718;144;3187;487;0;512;-;179;208
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;05:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;06:00;4668;144;3166;455;0;508;-;180;215
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;06:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;06:30;4764;144;3208;485;0;760;-;182;-14
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;06:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;07:00;4752;144;3175;525;0;840;-;180;-111
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;07:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;07:30;4766;144;3021;587;0;807;-;176;32
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;07:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;08:00;4773;145;3033;610;0;816;-;178;-10
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;08:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;08:30;4737;144;3155;631;0;840;-;175;-208
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;08:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;09:00;4696;144;3473;613;10;833;-;178;-554
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;09:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;09:30;4798;144;3965;640;51;860;-;181;-1043
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;09:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;10:00;4934;153;4142;656;79;775;-;180;-1050
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;10:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;10:30;5035;153;4144;677;148;777;-;177;-1042
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;10:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;11:00;5132;152;4154;662;212;782;-;180;-1010
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;11:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;11:30;5257;149;4152;606;241;683;-;180;-753
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;11:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;12:00;5365;148;4179;557;161;686;-;180;-546
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;12:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;12:30;5468;148;4109;594;139;805;-;178;-505
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;12:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees definitives;01/01/2018;13:00;5638;146;4175;503;134;844;-;173;-337
