Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;00:00;6512;135;6701;19;0;650;-;170;101.07
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;00:30;6522;140;6701;28;0;630;-;172;101.07
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;01:00;6375;140;6688;28;0;536;-;172;100.87
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;01:30;6581;140;6705;27;0;509;-;173;101.13
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;02:00;6465;142;6705;27;0;504;-;172;101.13
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;02:30;6485;138;6710;30;0;404;-;170;101.21
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;03:00;6270;138;6709;28;0;404;-;171;101.19
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;03:30;6078;139;6708;28;0;402;-;171;101.18
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;04:00;5943;139;6711;30;0;402;-;172;101.22
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;04:30;5771;138;6709;32;0;401;-;175;101.19
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;05:00;5839;138;6710;35;0;404;-;174;101.21
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;05:30;5874;138;6638;42;0;403;-;172;100.12
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;06:00;5879;138;6618;50;0;403;-;170;99.82
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;06:30;6015;138;6621;67;0;406;-;169;99.86
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;07:00;6058;138;6617;77;0;404;-;170;99.8
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;07:30;6099;139;6622;72;0;417;-;172;99.88
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;08:00;6127;139;6634;75;0;429;-;169;100.06
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;08:30;6124;138;6623;85;0;446;-;170;99.89
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;08:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;09:00;6145;138;6620;88;14;500;-;171;99.85
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;09:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;09:30;6226;138;6618;80;112;637;-;171;99.82
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;09:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;10:00;6324;138;6618;80;257;636;-;172;99.82
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;10:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;10:30;6430;139;6625;90;404;638;-;170;99.92
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;10:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;11:00;6477;139;6644;98;553;553;-;169;100.21
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;11:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;11:30;6576;139;6654;84;619;510;-;169;100.36
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;11:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;12:00;6669;136;6647;83;668;495;-;169;100.26
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;12:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;12:30;6790;139;6602;66;774;569;-;145;99.58
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;12:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;13:00;6910;138;6610;69;806;571;-;144;99.7
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;13:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;13:30;6635;139;6617;79;599;559;-;141;99.8
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;13:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;14:00;6560;137;6596;105;504;543;-;141;99.49
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;14:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;14:30;6485;134;6616;137;425;541;-;149;99.79
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;14:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;15:00;6277;134;6591;158;360;529;-;160;99.41
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;15:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;15:30;6284;138;6618;189;296;467;-;162;99.82
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;15:45;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;16:00;6172;139;6620;215;215;474;-;165;99.85
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;16:15;;;;;;;;;
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;16:30;6148;144;6630;235;121;507;-;168;100
Nouvelle-Aquitaine;Donnees consolidees;01/01/2021;16:45;;;;;;;;;
