Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Occitanie;Donnees definitives;01/01/2020;00:00;5591;94;2375;217;0;1934;-17;102;887
Occitanie;Donnees definitives;01/01/2020;00:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;00:30;5449;94;2470;233;0;1980;-17;101;589
Occitanie;Donnees definitives;01/01/2020;00:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;01:00;5205;94;2383;241;0;1772;-28;101;642
Occitanie;Donnees definitives;01/01/2020;01:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;01:30;5162;97;2504;246;0;1777;-40;101;476
Occitanie;Donnees definitives;01/01/2020;01:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;02:00;5128;97;2530;224;0;1779;-34;102;429
Occitanie;Donnees definitives;01/01/2020;02:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;02:30;5062;91;2478;201;0;1740;-48;96;503
Occitanie;Donnees definitives;01/01/2020;02:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;03:00;4971;91;2425;190;0;1669;-255;98;754
Occitanie;Donnees definitives;01/01/2020;03:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;03:30;4829;91;2509;192;0;1459;-363;99;842
Occitanie;Donnees definitives;01/01/2020;03:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;04:00;4719;91;2412;192;0;1418;-455;101;958
Occitanie;Donnees definitives;01/01/2020;04:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;04:30;4600;91;2503;185;0;1288;-664;100;1097
Occitanie;Donnees definitives;01/01/2020;04:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;05:00;4515;91;2451;183;0;1231;-874;99;1333
Occitanie;Donnees definitives;01/01/2020;05:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;05:30;4507;91;2498;198;0;1251;-873;98;1245
Occitanie;Donnees definitives;01/01/2020;05:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;06:00;4507;91;2505;184;0;1289;-873;100;1209
Occitanie;Donnees definitives;01/01/2020;06:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;06:30;4591;91;2510;174;0;1273;-447;99;891
Occitanie;Donnees definitives;01/01/2020;06:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;07:00;4586;96;2515;165;0;1276;-435;99;869
Occitanie;Donnees definitives;01/01/2020;07:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;07:30;4612;96;2494;197;0;1411;-833;99;1148
Occitanie;Donnees definitives;01/01/2020;07:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;08:00;4600;96;2451;193;0;1398;-855;99;1219
Occitanie;Donnees definitives;01/01/2020;08:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;08:30;4557;96;2386;189;2;1385;-853;99;1254
Occitanie;Donnees definitives;01/01/2020;08:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;09:00;4600;96;2373;234;45;1390;-853;99;1216
Occitanie;Donnees definitives;01/01/2020;09:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;09:30;4683;96;2378;269;145;1296;-852;99;1253
Occitanie;Donnees definitives;01/01/2020;09:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;10:00;4763;96;2371;258;270;1304;-853;98;1217
Occitanie;Donnees definitives;01/01/2020;10:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;10:30;4818;96;2380;246;398;1479;-851;98;972
Occitanie;Donnees definitives;01/01/2020;10:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;11:00;4834;95;2393;232;509;1486;-851;101;868
Occitanie;Donnees definitives;01/01/2020;11:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;11:30;4897;95;2401;255;605;1579;-850;100;713
Occitanie;Donnees definitives;01/01/2020;11:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;12:00;4930;91;2429;253;671;1594;-849;100;641
Occitanie;Donnees definitives;01/01/2020;12:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;12:30;5009;95;2442;229;712;1605;-227;98;53
Occitanie;Donnees definitives;01/01/2020;12:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;13:00;5089;95;2514;193;743;1661;-226;100;9
Occitanie;Donnees definitives;01/01/2020;13:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;13:30;4925;95;2460;149;750;1696;-227;100;-98
Occitanie;Donnees definitives;01/01/2020;13:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;14:00;4816;95;2430;119;694;1705;-226;102;-101
Occitanie;Donnees definitives;01/01/2020;14:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;14:30;4645;94;2462;114;600;1854;-226;101;-353
Occitanie;Donnees definitives;01/01/2020;14:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;15:00;4564;94;2395;118;480;1616;-226;102;-15
Occitanie;Donnees definitives;01/01/2020;15:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;15:30;4526;94;2503;95;328;1779;-17;100;-356
Occitanie;Donnees definitives;01/01/2020;15:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;16:00;4463;94;2416;72;204;1966;-17;97;-370
Occitanie;Donnees definitives;01/01/2020;16:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;16:30;4486;95;2472;66;96;2189;-17;100;-515
Occitanie;Donnees definitives;01/01/2020;16:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;17:00;4558;95;2590;62;33;2123;-17;99;-428
Occitanie;Donnees definitives;01/01/2020;17:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;17:30;4770;95;2599;53;7;2032;-17;99;-98
Occitanie;Donnees definitives;01/01/2020;17:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;18:00;5099;95;2600;49;5;2461;-17;99;-193
Occitanie;Donnees definitives;01/01/2020;18:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;18:30;5271;95;2600;59;3;2237;-17;98;196
Occitanie;Donnees definitives;01/01/2020;18:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;19:00;5414;95;2600;63;1;2197;-17;100;375
Occitanie;Donnees definitives;01/01/2020;19:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;19:30;5472;95;2601;63;0;2252;-17;100;376
Occitanie;Donnees definitives;01/01/2020;19:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;20:00;5457;95;2600;48;0;2130;-17;98;501
Occitanie;Donnees definitives;01/01/2020;20:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;20:30;5434;95;2297;39;0;2120;-17;99;800
Occitanie;Donnees definitives;01/01/2020;20:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;21:00;5356;95;2299;36;0;1761;-17;102;1080
Occitanie;Donnees definitives;01/01/2020;21:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;21:30;5265;95;2458;35;0;1867;-17;101;724
Occitanie;Donnees definitives;01/01/2020;21:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;22:00;5101;95;2414;40;0;1589;-17;99;881
Occitanie;Donnees definitives;01/01/2020;22:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;22:30;5202;95;2397;34;0;1498;-17;99;1095
Occitanie;Donnees definitives;01/01/2020;22:45;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;23:00;5627;96;2391;25;0;2362;-17;98;671
Occitanie;Donnees definitives;01/01/2020;23:15;;;;;;;;;
Occitanie;Donnees definitives;01/01/2020;23:30;5394;96;2371;26;0;1761;-17;95;1062
Occitanie;Donnees definitives;01/01/2020;23:45;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;00:00;5546;96;2301;30;0;1664;-17;98;1374
Occitanie;Donnees definitives;02/01/2020;00:15;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;00:30;5280;96;2382;40;0;1389;-199;99;1473
Occitanie;Donnees definitives;02/01/2020;00:45;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;01:00;5073;96;2353;42;0;1106;-643;99;2019
Occitanie;Donnees definitives;02/01/2020;01:15;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;01:30;4982;96;2377;43;0;1106;-653;100;1914
Occitanie;Donnees definitives;02/01/2020;01:45;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;02:00;4987;96;2331;45;0;1068;-659;100;2006
Occitanie;Donnees definitives;02/01/2020;02:15;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;02:30;5043;96;2398;50;0;1041;-879;99;2239
Occitanie;Donnees definitives;02/01/2020;02:45;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;03:00;4965;96;2336;53;0;1040;-879;99;2219
Occitanie;Donnees definitives;02/01/2020;03:15;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;03:30;4874;96;2387;60;0;1058;-878;98;2054
Occitanie;Donnees definitives;02/01/2020;03:45;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;04:00;4802;96;2377;58;0;1057;-877;98;1993
Occitanie;Donnees definitives;02/01/2020;04:15;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;04:30;4735;96;2389;63;0;1098;-863;97;1855
Occitanie;Donnees definitives;02/01/2020;04:45;;;;;;;;;
Occitanie;Donnees definitives;02/01/2020;05:00;4756;96;2361;58;0;1126;-862;98;1880
