Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Occitanie;Donnees consolidees;01/01/2021;00:00;5840;89;2595;130;0;1834;-8;82;99.05
Occitanie;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;00:30;5713;91;2597;178;0;1694;-8;81;99.12
Occitanie;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;01:00;5460;95;2600;196;0;970;-44;82;99.24
Occitanie;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;01:30;5421;91;2599;237;0;1207;-54;84;99.2
Occitanie;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;02:00;5365;91;2600;221;0;1561;-54;83;99.24
Occitanie;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;02:30;5317;87;2467;309;0;1458;-60;81;94.16
Occitanie;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;03:00;5198;92;2425;323;0;1404;-60;82;92.56
Occitanie;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;03:30;5088;92;2491;339;0;922;-60;84;95.08
Occitanie;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;04:00;4987;92;2442;377;0;930;-60;83;93.21
Occitanie;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;04:30;4867;92;2493;375;0;899;-60;84;95.15
Occitanie;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;05:00;4784;92;2493;344;0;906;-74;84;95.15
Occitanie;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;05:30;4816;92;2494;357;0;883;-485;85;95.19
Occitanie;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;06:00;4832;92;2488;401;0;894;-484;83;94.96
Occitanie;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;06:30;4928;92;2466;427;0;931;-461;87;94.12
Occitanie;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;07:00;4947;92;2494;391;0;1285;-461;87;95.19
Occitanie;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;07:30;4991;92;2498;384;0;1317;-461;86;95.34
Occitanie;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;08:00;5021;92;2515;383;0;1352;-460;88;95.99
Occitanie;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;08:30;5019;92;2497;408;1;991;-460;85;95.31
Occitanie;Donnees consolidees;01/01/2021;08:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;09:00;5117;92;2497;399;27;1005;-460;86;95.31
Occitanie;Donnees consolidees;01/01/2021;09:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;09:30;5229;92;2491;365;101;964;-425;80;95.08
Occitanie;Donnees consolidees;01/01/2021;09:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;10:00;5335;92;2487;370;204;925;-425;86;94.92
Occitanie;Donnees consolidees;01/01/2021;10:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;10:30;5418;94;2476;337;330;950;-424;86;94.5
Occitanie;Donnees consolidees;01/01/2021;10:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;11:00;5461;94;2505;348;455;969;-423;86;95.61
Occitanie;Donnees consolidees;01/01/2021;11:15;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;11:30;5519;94;2540;334;528;946;-458;84;96.95
Occitanie;Donnees consolidees;01/01/2021;11:45;;;;;;;;;
Occitanie;Donnees consolidees;01/01/2021;12:00;5583;94;2537;299;605;882;-255;85;96.83
