Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Occitanie;Donnees temps reel;01/06/2022;00:00;3670;0;1267;48;0;945;-3;91;ND
Occitanie;Donnees temps reel;01/06/2022;00:15;3525;0;1267;49;0;1180;-4;91;ND
Occitanie;Donnees temps reel;01/06/2022;00:30;3369;0;1267;50;0;1133;-3;93;ND
Occitanie;Donnees temps reel;01/06/2022;00:45;3201;0;1267;51;0;1117;-4;89;ND
Occitanie;Donnees temps reel;01/06/2022;01:00;3157;0;1267;52;0;1080;-3;92;ND
Occitanie;Donnees temps reel;01/06/2022;01:15;3148;0;1267;54;0;1033;-4;93;ND
Occitanie;Donnees temps reel;01/06/2022;01:30;3112;0;1268;53;0;1013;-3;94;ND
Occitanie;Donnees temps reel;01/06/2022;01:45;3111;0;1267;54;0;785;-4;94;ND
Occitanie;Donnees temps reel;01/06/2022;02:00;3094;0;1267;54;0;767;-5;91;ND
Occitanie;Donnees temps reel;01/06/2022;02:15;3098;0;1267;57;0;803;-3;91;ND
Occitanie;Donnees temps reel;01/06/2022;02:30;3010;0;1272;62;0;865;-4;92;ND
Occitanie;Donnees temps reel;01/06/2022;02:45;3032;0;1272;64;0;852;-40;91;ND
Occitanie;Donnees temps reel;01/06/2022;03:00;2955;0;1272;67;0;811;-40;89;ND
Occitanie;Donnees temps reel;01/06/2022;03:15;2924;0;892;68;0;800;-39;88;ND
Occitanie;Donnees temps reel;01/06/2022;03:30;2882;0;515;69;0;817;-39;89;ND
Occitanie;Donnees temps reel;01/06/2022;03:45;2870;0;1099;79;0;794;-40;92;ND
Occitanie;Donnees temps reel;01/06/2022;04:00;2830;0;1185;85;0;817;-40;91;ND
Occitanie;Donnees temps reel;01/06/2022;04:15;2784;0;1272;86;0;841;-40;90;ND
Occitanie;Donnees temps reel;01/06/2022;04:30;2784;0;1267;88;0;778;-39;88;ND
Occitanie;Donnees temps reel;01/06/2022;04:45;2790;0;1277;97;0;764;-39;90;ND
Occitanie;Donnees temps reel;01/06/2022;05:00;2813;0;1277;103;0;762;-39;89;ND
