Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
PACA;Donnees definitives;01/01/2019;00:00;6259;456;-;25;0;700;-51;112;5017
PACA;Donnees definitives;01/01/2019;00:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;00:30;6061;338;-;20;0;694;0;106;4904
PACA;Donnees definitives;01/01/2019;00:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;01:00;5902;145;-;20;0;776;0;104;4857
PACA;Donnees definitives;01/01/2019;01:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;01:30;5891;145;-;18;0;778;0;105;4846
PACA;Donnees definitives;01/01/2019;01:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;02:00;5839;145;-;16;0;728;0;105;4845
PACA;Donnees definitives;01/01/2019;02:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;02:30;5959;149;-;22;0;671;0;106;5012
PACA;Donnees definitives;01/01/2019;02:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;03:00;5710;150;-;20;0;561;0;104;4875
PACA;Donnees definitives;01/01/2019;03:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;03:30;5545;150;-;20;0;466;-51;105;4854
PACA;Donnees definitives;01/01/2019;03:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;04:00;5392;150;-;20;0;467;-51;104;4702
PACA;Donnees definitives;01/01/2019;04:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;04:30;5274;150;-;18;0;425;-51;106;4626
PACA;Donnees definitives;01/01/2019;04:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;05:00;5208;150;-;19;0;395;-51;106;4589
PACA;Donnees definitives;01/01/2019;05:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;05:30;5192;150;-;19;0;394;-51;106;4574
PACA;Donnees definitives;01/01/2019;05:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;06:00;5090;150;-;18;0;446;-51;107;4419
PACA;Donnees definitives;01/01/2019;06:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;06:30;5086;151;-;17;0;461;-51;105;4403
PACA;Donnees definitives;01/01/2019;06:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;07:00;5112;149;-;18;0;459;-51;106;4430
PACA;Donnees definitives;01/01/2019;07:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;07:30;5109;150;-;18;0;426;-51;105;4461
PACA;Donnees definitives;01/01/2019;07:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;08:00;5093;149;-;20;0;473;-51;105;4395
PACA;Donnees definitives;01/01/2019;08:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;08:30;5089;151;-;20;5;535;-51;103;4326
PACA;Donnees definitives;01/01/2019;08:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;09:00;5145;150;-;16;53;571;-51;102;4304
PACA;Donnees definitives;01/01/2019;09:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;09:30;5222;150;-;17;138;587;-51;104;4277
PACA;Donnees definitives;01/01/2019;09:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;10:00;5295;149;-;15;241;587;-51;104;4249
PACA;Donnees definitives;01/01/2019;10:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;10:30;5322;149;-;15;341;609;-51;105;4153
PACA;Donnees definitives;01/01/2019;10:45;;;;;;;;;
PACA;Donnees definitives;01/01/2019;11:00;5335;150;-;16;422;598;-51;104;4096
PACA;Donnees definitives;01/01/2019;11:15;;;;;;;;;
PACA;Donnees definitives;01/01/2019;11:30;5337;150;-;17;473;682;-51;104;3961
