Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
PACA;Donnees consolidees;01/01/2021;00:00;6395;1262;-;15;0;604;0;107;-
PACA;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;00:30;6290;1141;-;14;0;644;0;115;-
PACA;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;01:00;6106;611;-;8;0;623;0;114;-
PACA;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;01:30;6102;566;-;12;0;544;0;115;-
PACA;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;02:00;5970;591;-;13;0;542;0;116;-
PACA;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;02:30;6090;617;-;15;0;538;0;116;-
PACA;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;03:00;5823;586;-;24;0;546;0;116;-
PACA;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;03:30;5666;381;-;14;0;543;0;104;-
PACA;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;04:00;5483;362;-;12;0;547;-51;101;-
PACA;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;04:30;5392;386;-;8;0;547;-51;101;-
PACA;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;05:00;5286;386;-;8;0;603;-51;101;-
PACA;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;05:30;5293;386;-;10;0;607;-51;100;-
PACA;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;06:00;5218;387;-;8;0;603;-51;96;-
PACA;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;06:30;5202;388;-;6;0;581;-51;109;-
PACA;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;07:00;5231;387;-;7;0;583;-51;113;-
PACA;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;07:30;5221;387;-;8;0;661;-51;109;-
PACA;Donnees consolidees;01/01/2021;07:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;08:00;5223;392;-;17;0;648;-51;112;-
PACA;Donnees consolidees;01/01/2021;08:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;08:30;5252;387;-;17;1;594;-51;113;-
PACA;Donnees consolidees;01/01/2021;08:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;09:00;5375;387;-;17;19;597;-51;111;-
PACA;Donnees consolidees;01/01/2021;09:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;09:30;5488;383;-;20;34;583;-51;112;-
PACA;Donnees consolidees;01/01/2021;09:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;10:00;5672;387;-;25;53;589;-51;112;-
PACA;Donnees consolidees;01/01/2021;10:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;10:30;5749;387;-;24;80;575;-51;113;-
PACA;Donnees consolidees;01/01/2021;10:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;11:00;5900;399;-;21;107;657;-51;112;-
PACA;Donnees consolidees;01/01/2021;11:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;11:30;6019;407;-;32;139;649;0;111;-
PACA;Donnees consolidees;01/01/2021;11:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;12:00;6180;405;-;29;150;639;0;112;-
PACA;Donnees consolidees;01/01/2021;12:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;12:30;6349;380;-;27;157;633;0;112;-
PACA;Donnees consolidees;01/01/2021;12:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;13:00;6311;385;-;26;170;690;0;114;-
PACA;Donnees consolidees;01/01/2021;13:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;13:30;6342;386;-;26;161;614;0;111;-
PACA;Donnees consolidees;01/01/2021;13:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;14:00;6185;376;-;27;186;607;0;112;-
PACA;Donnees consolidees;01/01/2021;14:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;14:30;6148;456;-;28;186;628;0;114;-
PACA;Donnees consolidees;01/01/2021;14:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;15:00;6058;590;-;38;129;573;0;113;-
PACA;Donnees consolidees;01/01/2021;15:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;15:30;6016;717;-;34;89;558;0;114;-
PACA;Donnees consolidees;01/01/2021;15:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;16:00;5944;741;-;36;59;560;0;113;-
PACA;Donnees consolidees;01/01/2021;16:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;16:30;5858;925;-;31;26;556;0;112;-
PACA;Donnees consolidees;01/01/2021;16:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;17:00;5921;1044;-;27;5;574;0;113;-
PACA;Donnees consolidees;01/01/2021;17:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;17:30;6093;1127;-;27;0;604;0;111;-
PACA;Donnees consolidees;01/01/2021;17:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;18:00;6244;1217;-;21;0;652;0;112;-
PACA;Donnees consolidees;01/01/2021;18:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;18:30;6348;1334;-;25;0;661;0;112;-
PACA;Donnees consolidees;01/01/2021;18:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;19:00;6456;1355;-;22;0;680;0;113;-
PACA;Donnees consolidees;01/01/2021;19:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;19:30;6490;1322;-;23;0;737;0;111;-
PACA;Donnees consolidees;01/01/2021;19:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;20:00;6492;1295;-;24;0;723;0;114;-
PACA;Donnees consolidees;01/01/2021;20:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;20:30;6359;1353;-;25;0;690;0;115;-
PACA;Donnees consolidees;01/01/2021;20:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;21:00;6211;1340;-;26;0;645;0;114;-
PACA;Donnees consolidees;01/01/2021;21:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;21:30;6014;1387;-;25;0;633;0;113;-
PACA;Donnees consolidees;01/01/2021;21:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;22:00;5901;1224;-;23;0;648;0;113;-
PACA;Donnees consolidees;01/01/2021;22:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;22:30;5953;1146;-;23;0;639;0;112;-
PACA;Donnees consolidees;01/01/2021;22:45;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;23:00;6061;1301;-;24;0;609;0;114;-
PACA;Donnees consolidees;01/01/2021;23:15;;;;;;;;;
PACA;Donnees consolidees;01/01/2021;23:30;6435;1277;-;24;0;544;0;112;-
PACA;Donnees consolidees;01/01/2021;23:45;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;00:00;6136;1124;-;29;0;544;0;114;-
PACA;Donnees consolidees;02/01/2021;00:15;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;00:30;5930;1006;-;29;0;534;0;114;-
PACA;Donnees consolidees;02/01/2021;00:45;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;01:00;5718;670;-;30;0;539;0;113;-
PACA;Donnees consolidees;02/01/2021;01:15;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;01:30;5739;593;-;29;0;535;0;115;-
PACA;Donnees consolidees;02/01/2021;01:45;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;02:00;5700;674;-;30;0;536;0;113;-
PACA;Donnees consolidees;02/01/2021;02:15;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;02:30;5818;719;-;32;0;532;0;112;-
PACA;Donnees consolidees;02/01/2021;02:45;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;03:00;5579;609;-;33;0;555;0;113;-
PACA;Donnees consolidees;02/01/2021;03:15;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;03:30;5482;602;-;32;0;640;0;113;-
PACA;Donnees consolidees;02/01/2021;03:45;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;04:00;5389;588;-;31;0;640;-51;112;-
PACA;Donnees consolidees;02/01/2021;04:15;;;;;;;;;
PACA;Donnees consolidees;02/01/2021;04:30;5336;597;-;29;0;699;-51;112;-
PACA;Donnees consolidees;02/01/2021;04:45;;;;;;;;;
