Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
PACA;Donnees temps reel;01/06/2022;00:00;4014;701;-;1;0;897;0;203;ND
PACA;Donnees temps reel;01/06/2022;00:15;3846;723;-;1;0;909;0;204;ND
PACA;Donnees temps reel;01/06/2022;00:30;3736;536;-;1;0;845;0;202;ND
PACA;Donnees temps reel;01/06/2022;00:45;3608;541;-;1;0;732;0;204;ND
PACA;Donnees temps reel;01/06/2022;01:00;3516;549;-;1;0;738;0;203;ND
PACA;Donnees temps reel;01/06/2022;01:15;3586;652;-;0;0;645;0;202;ND
PACA;Donnees temps reel;01/06/2022;01:30;3534;643;-;0;0;595;0;204;ND
PACA;Donnees temps reel;01/06/2022;01:45;3485;639;-;0;0;474;0;204;ND
PACA;Donnees temps reel;01/06/2022;02:00;3537;636;-;0;0;412;0;203;ND
PACA;Donnees temps reel;01/06/2022;02:15;3670;750;-;0;0;405;0;204;ND
PACA;Donnees temps reel;01/06/2022;02:30;3580;848;-;0;0;399;0;203;ND
PACA;Donnees temps reel;01/06/2022;02:45;3472;826;-;0;0;397;0;204;ND
PACA;Donnees temps reel;01/06/2022;03:00;3403;776;-;0;0;395;0;203;ND
PACA;Donnees temps reel;01/06/2022;03:15;3362;790;-;0;0;394;0;204;ND
PACA;Donnees temps reel;01/06/2022;03:30;3300;821;-;0;0;394;0;204;ND
PACA;Donnees temps reel;01/06/2022;03:45;3206;777;-;0;0;395;0;203;ND
PACA;Donnees temps reel;01/06/2022;04:00;3186;814;-;0;0;406;0;203;ND
PACA;Donnees temps reel;01/06/2022;04:15;3167;851;-;0;0;416;0;202;ND
PACA;Donnees temps reel;01/06/2022;04:30;3125;868;-;1;0;418;0;204;ND
PACA;Donnees temps reel;01/06/2022;04:45;3152;814;-;1;0;418;0;205;ND
PACA;Donnees temps reel;01/06/2022;05:00;3158;825;-;1;0;466;0;204;ND
PACA;Donnees temps reel;01/06/2022;05:15;3183;822;-;1;0;507;0;202;ND
