Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Pays-de-la-Loire;Donnees definitives;01/01/2019;00:00;3704;169;-;51;0;3;-;50;3431
Pays-de-la-Loire;Donnees definitives;01/01/2019;00:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;00:30;3674;177;-;62;0;4;-;51;3381
Pays-de-la-Loire;Donnees definitives;01/01/2019;00:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;01:00;3485;184;-;61;0;4;-;51;3185
Pays-de-la-Loire;Donnees definitives;01/01/2019;01:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;01:30;3448;181;-;63;0;4;-;51;3150
Pays-de-la-Loire;Donnees definitives;01/01/2019;01:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;02:00;3473;181;-;55;0;4;-;51;3183
Pays-de-la-Loire;Donnees definitives;01/01/2019;02:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;02:30;3277;185;-;59;0;4;-;50;2979
Pays-de-la-Loire;Donnees definitives;01/01/2019;02:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;03:00;3104;185;-;66;0;4;-;50;2798
Pays-de-la-Loire;Donnees definitives;01/01/2019;03:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;03:30;2976;185;-;73;0;4;-;49;2665
Pays-de-la-Loire;Donnees definitives;01/01/2019;03:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;04:00;2899;185;-;77;0;4;-;48;2584
Pays-de-la-Loire;Donnees definitives;01/01/2019;04:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;04:30;2830;185;-;69;0;4;-;47;2525
Pays-de-la-Loire;Donnees definitives;01/01/2019;04:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;05:00;2791;185;-;68;0;4;-;46;2488
Pays-de-la-Loire;Donnees definitives;01/01/2019;05:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;05:30;2816;188;-;68;0;4;-;46;2510
Pays-de-la-Loire;Donnees definitives;01/01/2019;05:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;06:00;2813;187;-;67;0;4;-;45;2509
Pays-de-la-Loire;Donnees definitives;01/01/2019;06:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;06:30;2898;187;-;74;0;4;-;45;2587
Pays-de-la-Loire;Donnees definitives;01/01/2019;06:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;07:00;2870;187;-;82;0;4;-;45;2552
Pays-de-la-Loire;Donnees definitives;01/01/2019;07:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;07:30;2901;187;-;77;0;4;-;46;2586
Pays-de-la-Loire;Donnees definitives;01/01/2019;07:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;08:00;2896;186;-;76;0;4;-;46;2584
Pays-de-la-Loire;Donnees definitives;01/01/2019;08:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;08:30;2897;187;-;70;0;4;-;46;2589
Pays-de-la-Loire;Donnees definitives;01/01/2019;08:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;09:00;2851;184;-;62;0;4;-;46;2555
Pays-de-la-Loire;Donnees definitives;01/01/2019;09:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;09:30;2856;177;-;57;0;4;-;46;2571
Pays-de-la-Loire;Donnees definitives;01/01/2019;09:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;10:00;2906;179;-;53;3;4;-;46;2620
Pays-de-la-Loire;Donnees definitives;01/01/2019;10:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;10:30;2972;180;-;52;8;4;-;46;2681
Pays-de-la-Loire;Donnees definitives;01/01/2019;10:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;11:00;3042;175;-;55;14;4;-;47;2747
Pays-de-la-Loire;Donnees definitives;01/01/2019;11:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;11:30;3083;175;-;51;19;4;-;50;2784
Pays-de-la-Loire;Donnees definitives;01/01/2019;11:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;12:00;3167;176;-;47;24;4;-;49;2866
Pays-de-la-Loire;Donnees definitives;01/01/2019;12:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;12:30;3277;178;-;49;28;4;-;51;2967
Pays-de-la-Loire;Donnees definitives;01/01/2019;12:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;13:00;3410;181;-;55;30;4;-;51;3088
Pays-de-la-Loire;Donnees definitives;01/01/2019;13:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;13:30;3290;181;-;56;31;4;-;51;2966
Pays-de-la-Loire;Donnees definitives;01/01/2019;13:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;14:00;3184;174;-;68;30;4;-;51;2858
Pays-de-la-Loire;Donnees definitives;01/01/2019;14:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;14:30;3082;174;-;82;26;4;-;51;2745
Pays-de-la-Loire;Donnees definitives;01/01/2019;14:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;15:00;3014;172;-;88;23;4;-;51;2676
Pays-de-la-Loire;Donnees definitives;01/01/2019;15:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;15:30;3086;167;-;95;18;4;-;50;2751
Pays-de-la-Loire;Donnees definitives;01/01/2019;15:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;16:00;3044;167;-;91;11;4;-;51;2719
Pays-de-la-Loire;Donnees definitives;01/01/2019;16:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;16:30;3043;167;-;87;6;4;-;52;2727
Pays-de-la-Loire;Donnees definitives;01/01/2019;16:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;17:00;3051;168;-;80;1;4;-;51;2747
Pays-de-la-Loire;Donnees definitives;01/01/2019;17:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;17:30;3158;170;-;97;0;4;-;51;2837
Pays-de-la-Loire;Donnees definitives;01/01/2019;17:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;18:00;3331;170;-;106;0;4;-;50;3000
Pays-de-la-Loire;Donnees definitives;01/01/2019;18:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;18:30;3420;168;-;113;0;4;-;50;3084
Pays-de-la-Loire;Donnees definitives;01/01/2019;18:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;19:00;3471;168;-;93;0;4;-;50;3155
Pays-de-la-Loire;Donnees definitives;01/01/2019;19:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;19:30;3482;169;-;88;0;4;-;51;3171
Pays-de-la-Loire;Donnees definitives;01/01/2019;19:45;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;20:00;3443;168;-;92;0;4;-;50;3129
Pays-de-la-Loire;Donnees definitives;01/01/2019;20:15;;;;;;;;;
Pays-de-la-Loire;Donnees definitives;01/01/2019;20:30;3361;168;-;99;0;4;-;50;3039
