Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Pays-de-la-Loire;Donnees consolidees;01/01/2021;00:00;4230;597;-;7;0;5;-;47;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;00:15;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;00:30;4292;600;-;61;0;6;-;47;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;00:45;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;01:00;4135;605;-;61;0;6;-;48;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;01:15;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;01:30;4158;552;-;59;0;6;-;47;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;01:45;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;02:00;4216;177;-;64;0;6;-;48;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;02:15;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;02:30;4063;177;-;73;0;6;-;48;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;02:45;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;03:00;3896;175;-;86;0;6;-;47;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;03:15;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;03:30;3791;175;-;98;0;6;-;47;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;03:45;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;04:00;3699;174;-;103;0;6;-;48;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;04:15;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;04:30;3655;177;-;116;0;6;-;48;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;04:45;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;05:00;3621;179;-;126;0;6;-;49;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;05:15;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;05:30;3661;180;-;135;0;5;-;47;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;05:45;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;06:00;3668;179;-;148;0;5;-;48;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;06:15;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;06:30;3769;179;-;148;0;5;-;48;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;06:45;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;07:00;3788;173;-;159;0;6;-;48;-
Pays-de-la-Loire;Donnees consolidees;01/01/2021;07:15;;;;;;;;;
Pays-de-la-Loire;Donnees consolidees;01/01/2021;07:30;3812;172;-;171;0;6;-;47;-
