Perimetre;Nature;Date;Heures;Consommation;Thermique;Nucleaire;Eolien;Solaire;Hydraulique;Pompage;Bioenergies;Ech. physiques
Pays-de-la-Loire;Donnees temps reel;01/06/2022;00:00;2630;19;-;165;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;00:15;2611;19;-;171;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;00:30;2472;19;-;173;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;00:45;2358;19;-;175;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;01:00;2297;19;-;175;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;01:15;2312;19;-;186;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;01:30;2333;19;-;183;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;01:45;2351;19;-;180;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;02:00;2266;19;-;180;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;02:15;2216;19;-;186;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;02:30;2144;19;-;181;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;02:45;2109;19;-;186;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;03:00;2077;19;-;178;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;03:15;2037;19;-;171;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;03:30;2014;19;-;174;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;03:45;2028;19;-;162;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;04:00;2030;19;-;157;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;04:15;2026;19;-;146;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;04:30;2022;19;-;144;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;04:45;2033;19;-;131;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;05:00;2083;19;-;120;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;05:15;2127;19;-;121;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;05:30;2175;19;-;118;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;05:45;2207;19;-;129;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;06:00;2263;19;-;132;0;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;06:15;2342;19;-;138;6;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;06:30;2376;19;-;140;12;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;06:45;2456;19;-;148;17;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;07:00;2541;19;-;153;23;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;07:15;2613;19;-;153;30;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;07:30;2669;19;-;156;43;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;07:45;2761;19;-;151;55;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;08:00;2819;19;-;131;69;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;08:15;2856;19;-;103;102;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;08:30;2894;19;-;84;130;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;08:45;2890;19;-;55;157;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;09:00;2919;19;-;39;185;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;09:15;2891;19;-;36;209;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;09:30;2885;19;-;35;243;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;09:45;2901;19;-;36;277;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;10:00;2868;19;-;37;311;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;10:15;2950;19;-;38;365;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;10:30;2919;19;-;39;392;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;10:45;2906;19;-;41;419;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;11:00;2918;19;-;36;446;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;11:15;2946;19;-;38;515;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;11:30;2980;19;-;35;531;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;11:45;3015;19;-;33;547;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;12:00;3055;19;-;33;563;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;12:15;3017;19;-;30;568;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;12:30;3068;19;-;29;578;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;12:45;3128;19;-;29;588;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;13:00;3060;19;-;29;599;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;13:15;3003;19;-;28;599;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;13:30;2964;19;-;30;600;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;13:45;2988;19;-;29;601;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;14:00;2960;19;-;29;602;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;14:15;2978;19;-;29;617;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;14:30;2907;19;-;27;608;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;14:45;2887;19;-;28;600;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;15:00;2901;19;-;29;591;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;15:15;2931;19;-;27;589;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;15:30;2885;19;-;30;573;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;15:45;2885;19;-;28;558;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;16:00;2807;19;-;30;542;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;16:15;2833;19;-;32;533;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;16:30;2784;19;-;30;514;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;16:45;2781;19;-;34;496;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;17:00;2747;19;-;36;478;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;17:15;2740;19;-;39;452;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;17:30;2732;19;-;39;425;2;-;45;ND
Pays-de-la-Loire;Donnees temps reel;01/06/2022;17:45;2739;19;-;39;398;2;-;45;ND
